,이름,금액,페어링,주소,영문이름,나라,생산지,제조사,포도품종,알코올도수,평점,종류,산미,당도,바디감,탄닌,인기순위,추천순위,구매가능여부,이미지주소,평점지수
45,핀카 비야크레세스 프루노,39000,"파슬리, 계피/바닐라, 강황/쿠민, 고소한치즈, 감칠맛치즈, 양파/마늘, 표고버섯/느타리버섯, 훈제, 돼지고기/닭고기, 소고기/양고기, 바베큐/데리야키",https://www.winenara.com/shop/product/product_view?product_cd=03P929,FINCA VILLACRECES PRUNO,스페인,,핀카 비야크레세스 (Finca Villacreces),,14,4,레드,3,0,4,3,63,451,구매 불가,https://www.winenara.com/uploads/product/550/1172_detail_091.png,4.763015583
46,로스 인토카블레스 말벡,21900,"강황/쿠민, 그릴/바베큐, 소고기/양고기",https://www.winenara.com/shop/product/product_view?product_cd=03Q524,LOS INTOCABLES MALBEC,아르헨티나,아르헨티나,핀카 라스 모라스 Finca Las Moras (Penaflor),말벡(MALBEC) 100%,14,4,레드,3,0,4,3,64,329,구매 예약,https://www.winenara.com/uploads/product/550/2850_detail_086.png,4.761156068
47,라 크루와 뒤크뤼 보까이유 뀌베 꼴베,150000,"파슬리, 계피/바닐라, 강황/쿠민, 고소한치즈, 감칠맛치즈, 양파/마늘, 표고버섯/느타리버섯, 훈제, 돼지고기/닭고기, 소고기/양고기, 바베큐/데리야키",https://www.winenara.com/shop/product/product_view?product_cd=03Q120,LA CROIX DUCRU BEAUCAILLOU CUVEE COLBERT,프랑스,"프랑스, 보르도, St-Julien",샤또 뒤크뤼 보까이유,"카베르네 소비뇽(CABERNET SAUVIGNON) 60%, 메를로(MERLOT) 35%, 쁘띠 베르도(PETIT VERDOT) 5%",13.5,4.2,레드,3,0,4,4,65,51,구매 불가,https://www.winenara.com/uploads/product/550/2760_detail_092.jpg,4.959296553
48,유 원 프리미티보 디 만두리아,25000,"파슬리, 계피/바닐라, 강황/쿠민, 고소한치즈, 감칠맛치즈, 양파/마늘, 표고버섯/느타리버섯, 훈제, 돼지고기/닭고기, 소고기/양고기, 바베큐/데리야키",https://www.winenara.com/shop/product/product_view?product_cd=03P465,U-ONE PRIMITIVO DI MANDURIA,이탈리아,"풀리아, 만두리아",쉥크,프리미티보 100%,14.5,4.2,레드,3,0,4,3,66,599,구매 불가,https://www.winenara.com/uploads/product/550/1870_detail_069.png,4.957437038
49,젠틀맨즈 컬렉션 카베르네 소비뇽,35000,"강황/쿠민, 그릴/바베큐, 소고기/양고기",https://www.winenara.com/shop/product/product_view?product_cd=03M755,GENTLEMAN'S COLLECTION CABERNET SAUVIGNON,호주,"호주, 동남부 지역 (South Eastern Australia)",린드만 (Lindeman’s),까베르네 소비뇽 (Cabernet Sauvignon),14.5,3.9,레드,3,0,3,3,68,93,구매 예약,https://www.winenara.com/uploads/product/1419_detail_031.png,4.653718008
50,스타즈 콜라이드 소비뇽블랑,15900,"민트/바질, 파슬리, 짠맛치즈, 버터맛치즈, 고소한치즈, 감칠맛치즈, 상추/아보카도, 당근/호박, 양파/마늘, 찜, 생선, 바닷가재/게, 새우",https://www.winenara.com/shop/product/product_view?product_cd=04D885,STARS COLLIDE SAUVIGNON BLANC,뉴질랜드,-,하하 와인즈 HAHA WINES,소비뇽 블랑(SAUVIGNON BLANC)100%,12.5,3.9,화이트,3,0,2,0,69,400,구매 예약,https://www.winenara.com/uploads/product/550/2970_detail_018.png,4.651858492
51,산 텔모 리저브 샤르도네,13900,"민트/바질, 파슬리, 짠맛치즈, 버터맛치즈, 고소한치즈, 감칠맛치즈, 상추/아보카도, 당근/호박, 양파/마늘, 찜, 생선, 바닷가재/게, 새우",https://www.winenara.com/shop/product/product_view?product_cd=04D794,SAN TELMO RESERVE CHARDONNAY,아르헨티나,"아르헨티나, 멘도사",산 텔모 (San Telmo),샤르도네(CHARDONNAY) 100%,13.9,3.7,화이트,3,1,4,0,71,331,구매 예약,https://www.winenara.com/uploads/product/550/2624_detail_096.png,4.448139462
52,산 필리포 로소 디 몬탈치노 로 스코르노,45000,"파슬리, 계피/바닐라, 강황/쿠민, 고소한치즈, 감칠맛치즈, 양파/마늘, 표고버섯/느타리버섯, 훈제, 돼지고기/닭고기, 소고기/양고기, 바베큐/데리야키",https://www.winenara.com/shop/product/product_view?product_cd=03R898,SAN FILIPPO ROSSO DI MONTALCINO LO SCORNO,이탈리아,몬탈치노,산 필리포,산지오베제 100%,14.5,3.8,레드,3,0,3,3,72,229,구매 예약,https://www.winenara.com/uploads/product/550/2048_detail_076.png,4.546279947
53,산타 아나 클래식 말벡,12900,"강황/쿠민, 그릴/바베큐, 소고기/양고기",https://www.winenara.com/shop/product/product_view?product_cd=03N574,SANTA ANA CLASSIC MALBEC,아르헨티나,멘도자 (Mendoza),보데가 산타 아나,말벡 100%,13,3.2,레드,3,1,3,2,73,464,구매 예약,https://www.winenara.com/uploads/product/550/1843_detail_09.png,3.944420432
54,샤또 비뇨 생테밀리옹 그랑 크뤼,150000,"파슬리, 계피/바닐라, 강황/쿠민, 고소한치즈, 감칠맛치즈, 양파/마늘, 표고버섯/느타리버섯, 훈제, 돼지고기/닭고기, 소고기/양고기, 바베큐/데리야키",https://www.winenara.com/shop/product/product_view?product_cd=03O601,CHATEAU VIGNOT SAINT EMILION GRAND CRU,프랑스,"보르도, 생테밀리옹",잭슨 패밀리 와인즈,"메를로 70%, 카베르네 프랑 30%",13,4,레드,3,0,3,3,74,506,구매 예약,https://www.winenara.com/uploads/product/550/1722_detail_094.png,4.742560916
