,이름,금액,페어링,주소,영문이름,나라,생산지,제조사,포도품종,알코올도수,평점,종류,산미,당도,바디감,탄닌,인기순위,추천순위,구매가능여부,이미지주소,평점지수
95,라운드 힐 샤르도네,22000,"버터맛치즈, 고소한치즈, 양파/마늘, 표고버섯/느타리버섯, 바닷가재/게, 돼지고기/닭고기, 새우",https://www.winenara.com/shop/product/product_view?product_cd=04D739,Round Hill Chardonnay,미국,캘리포니아,러더포드 와인 컴퍼니 (Rutherford Wine Company),샤르도네(Chardonnay) 100%,13,3.7,화이트,3,1,3,0,135,14,구매 예약,https://www.winenara.com/uploads/product/550/2719_detail_037.png,4.32913049
96,바인리히 리슬링,14900,"민트/바질, 파슬리, 짠맛치즈, 버터맛치즈, 고소한치즈, 감칠맛치즈, 상추/아보카도, 당근/호박, 양파/마늘, 찜, 생선, 바닷가재/게, 새우",https://www.winenara.com/shop/product/product_view?product_cd=04D831,WEINREICH RIESLING,독일,"독일, 라인헤센",WEINREICH,리슬링(RIESLING) 100%,12.5,3.8,화이트,4,2,3,0,136,23,구매 예약,https://www.winenara.com/uploads/product/550/2660_detail_066.png,4.427270975
97,토르치코다,50000,"파슬리, 계피/바닐라, 강황/쿠민, 고소한치즈, 감칠맛치즈, 양파/마늘, 표고버섯/느타리버섯, 훈제, 돼지고기/닭고기, 소고기/양고기, 바비큐/데리야키",https://www.winenara.com/shop/product/product_view?product_cd=03Q287,TORCICODA,이탈리아,"풀리아, 살렌토",토마레스카 / 안티노리,프리미티보 100%,14,4,레드,3,1,4,4,137,520,구매 불가,https://www.winenara.com/uploads/product/550/1879_detail_037.png,4.62541146
98,카멜로드 몬테레이 샤르도네,39000,"버터맛치즈, 고소한치즈, 양파/마늘, 표고버섯/느타리버섯, 바닷가재/게, 돼지고기/닭고기, 새우",https://www.winenara.com/shop/product/product_view?product_cd=04D180,CARMEL ROAD MONTEREY CHARDONNAY,미국,"캘리포니아, 몬테레이",잭슨 패밀리 와인,샤르도네 (Chardonnay) 100%,13.5,3.7,화이트,3,0,2,0,139,494,구매 예약,https://www.winenara.com/uploads/product/550/1204_detail_022.png,4.32169243
99,샤또 크뤼조 레드,50000,"파슬리, 계피/바닐라, 강황/쿠민, 고소한치즈, 감칠맛치즈, 양파/마늘, 표고버섯/느타리버섯, 훈제, 돼지고기/닭고기, 소고기/양고기, 바비큐/데리야키",https://www.winenara.com/shop/product/product_view?product_cd=03L284,CHATEAU CRUZEAU RED,프랑스,"보르도, 빼삭 레오냥",앙드레 뤼통,"까베르네 소비뇽(Cabernet Sauvignon) 55%, 메를로(Merlot) 43%, 까베르네 프랑(Cabernet Franc) 2%",12.5,3.8,레드,2,1,3,2,140,96,구매 예약,https://www.winenara.com/uploads/product/550/566_detail_041.png,4.419832914
100,루이 부요 크레망 드 부르고뉴 밀레짐,35000,"짠맛치즈, 버터맛치즈, 고소한치즈, 감칠맛치즈, 당근/호박, 조개/굴, 바닷가재/게, 살루미/베이컨, 새우",https://www.winenara.com/shop/product/product_view?product_cd=02A790,LOUIS BOUILLOT CREMANT DE BOURGOGNE BRUT MILLESIME,프랑스,"프랑스,부르고뉴",루이 부요(Louis Bouillot),"샤르도네(CHARDONNAY) 42% , 피노 누아(PINOT NOIR) 35% , 알리고테(ALIGOTE) 15% , 가메(GAMAY) 8%",12,3.8,스파클링,3,0,3,0,142,47,구매 예약,https://www.winenara.com/uploads/product/550/2781_detail_011.png,4.416113884
101,젠틀맨즈컬렉션 토니 포트,35000,버터맛치즈,https://www.winenara.com/shop/product/product_view?product_cd=03Q832,GENTLEMAN'S COLLECTION TAWNY,호주,호주,Treasury Wine Estate,"쉬라즈(SHIRAZ), 마타로(MATARO), 그르나슈(GRENACHE), 모스카토(MUSCAT)",17.5,4.3,레드,3,3,3,0,143,52,구매 예약,https://www.winenara.com/uploads/product/550/2756_detail_032.jpg,4.914254369
102,폴 당장 뀌베 `47,79000,"짠맛치즈, 버터맛치즈, 고소한치즈, 감칠맛치즈, 당근/호박, 조개/굴, 바닷가재/게, 살루미/베이컨, 새우",https://www.winenara.com/shop/product/product_view?product_cd=02A682,PUAL DANGIN CUVEE `47,프랑스,상파뉴,SARL DANGIN,"피노 누아(PINOT NOIR), 샤르도네(CHARDONNAY)",12,4.2,샴페인,3,0,4,0,144,68,구매 예약,https://www.winenara.com/uploads/product/550/2729_detail_020.png,4.812394854
103,퍼스트 드랍 풀 팻 레드,19900,"고소한치즈, 양파/마늘, 표고버섯/느타리버섯, 튀김, 돼지고기/닭고기",https://www.winenara.com/shop/product/product_view?product_cd=03Q554,FIRST DROP FULL FAT RED,호주,-,FIRST DROP WINES,"쉬라즈(SHIRAZ)65%,몬테풀치아노(MONTEPULCIANO)18%, 네비올로(NEBBIOLO)8%,그르나슈(GARNACHA)5%,모나스트렐(MONASTRELL)4%",14.5,3.5,레드,3,0,3,3,145,73,구매 예약,https://www.winenara.com/uploads/product/550/2699_detail_042.png,4.110535339
104,퍼스트 드랍 풀 팻 화이트,19900,"민트/바질, 파슬리, 짠맛치즈, 버터맛치즈, 고소한치즈, 감칠맛치즈, 상추/아보카도, 당근/호박, 양파/마늘, 찜, 생선, 바닷가재/게, 새우",https://www.winenara.com/shop/product/product_view?product_cd=04D858,FIRST DROP FULL FAT WHITE,호주,-,FIRST DROP WINES,"아르네이스(ARNEIS) 66% , 알리아니코(AGLIANICO) 21% , 샤르도네(CHARDONNAY) 13%",13,3.3,화이트,3,0,2,0,146,74,구매 예약,https://www.winenara.com/uploads/product/550/2698_detail_090.png,3.908675823
105,닥터루젠 블루 슬레이트 리슬링 카비넷,30000,"민트/바질, 파슬리, 짠맛치즈, 버터맛치즈, 고소한치즈, 감칠맛치즈, 상추/아보카도, 당근/호박, 양파/마늘, 찜, 생선, 바닷가재/게, 새우",https://www.winenara.com/shop/product/product_view?product_cd=04D729,DR. LOOSEN BLUE SLATE RIESLING KABINETT,독일,"독일, 모젤",WEINGUT DR. LOOSEN,리슬링 (RIESLING) 100%,8,4,화이트,4,2,3,0,148,32,구매 불가,https://www.winenara.com/uploads/product/550/2608_detail_077.png,4.604956793
106,하디스 스탬프 샤르도네 세미옹,12900,"민트/바질, 파슬리, 짠맛치즈, 버터맛치즈, 고소한치즈, 감칠맛치즈, 상추/아보카도, 당근/호박, 양파/마늘, 찜, 생선, 바닷가재/게, 새우",https://www.winenara.com/shop/product/product_view?product_cd=04D710,HARDYS STAMP CHARDONNAY SEMILLON,호주,호주 (South Eastern Australia),하디스 (Hardys),샤르도네 (Chardonnay) & 세미옹 (Semillon),13,3.4,화이트,3,0,2,0,150,218,구매 예약,https://www.winenara.com/uploads/product/550/2058_detail_026.png,4.001237763
107,바독 카베르네소비뇽,29000,"파슬리, 계피/바닐라, 강황/쿠민, 고소한치즈, 감칠맛치즈, 양파/마늘, 표고버섯/느타리버섯, 훈제, 돼지고기/닭고기, 소고기/양고기, 바비큐/데리야키",https://www.winenara.com/shop/product/product_view?product_cd=03O378,BAR DOG CABERNET SAUVIGNON,미국,캘리포니아,바 독,"카베르네 소비뇽 95%, 쁘띠 베르도 2%",13.5,3.8,레드,2,0,5,3,151,211,구매 예약,https://www.winenara.com/uploads/product/550/1935_detail_044.png,4.399378247
108,빌라 엠 줄리아,9900,"민트/바질, 파슬리, 짠맛치즈, 버터맛치즈, 고소한치즈, 감칠맛치즈, 상추/아보카도, 당근/호박, 양파/마늘, 찜, 생선, 바닷가재/게, 새우",https://www.winenara.com/shop/product/product_view?product_cd=04C166,VILLA M JULIA,이탈리아,베로나,,"가르가네가, 피노 비앙코",11,2.7,화이트,1,3,1,0,153,471,구매 예약,https://www.winenara.com/uploads/product/550/1842_detail_081.png,3.295659217
109,카사솔레,18000,버터맛치즈,https://www.winenara.com/shop/product/product_view?product_cd=04D446,CASASOLE,이탈리아,오르비에토,산타 크리스티나 / 안티노리 (Santa Cristina / Antinori),"프로카니코, 그레케토",10.5,3.9,화이트,3,2,2,0,156,493,구매 불가,https://www.winenara.com/uploads/product/550/1639_detail_09.png,4.490080672
110,아콩카구아 알토 까르메네르,45000,"강황/쿠민, 그릴/바베큐, 소고기/양고기",https://www.winenara.com/shop/product/product_view?product_cd=03L894,ACONCAGUA ALTO CARMENERE,칠레,아콩카구아 밸리,비냐 에라주리즈 (Vina Errazuriz),까르메네르 (Carmenere) 100%,14,4,레드,3,0,4,4,157,628,구매 예약,https://www.winenara.com/uploads/product/550/1510_detail_062.png,4.588221156
111,펫저 메를로,21900,"파슬리, 계피/바닐라, 강황/쿠민, 고소한치즈, 감칠맛치즈, 양파/마늘, 표고버섯/느타리버섯, 훈제, 돼지고기/닭고기, 소고기/양고기, 바비큐/데리야키",https://www.winenara.com/shop/product/product_view?product_cd=03M901,FETZER MERLOT,미국,캘리포니아,펫져 (Fetzer),메를로 100%,13.7,3.4,레드,3,1,3,2,159,370,구매 예약,https://www.winenara.com/uploads/product/550/1478_detail_093.png,3.984502126
112,샤또 보네 리저브 화이트,39000,"민트/바질, 파슬리, 짠맛치즈, 버터맛치즈, 고소한치즈, 감칠맛치즈, 상추/아보카도, 당근/호박, 양파/마늘, 찜, 생선, 바닷가재/게, 새우",https://www.winenara.com/shop/product/product_view?product_cd=04C856,CHATEAU BONNET WHITE,프랑스,"보르도, 앙트르 드 메르",앙드레 뤼통,"소비뇽 블랑(Sauvignon Blanc) 50%, 세미용(Semillon) 40%, 뮈스까델(Muscadelle) 10%",12,3.5,화이트,2,0,2,0,161,588,구매 불가,https://www.winenara.com/uploads/product/550/fc62b108acac2059c9343198944cb04c.png,4.080783096
113,마틴 레이 소노마 코스트 피노누아,42000,"파슬리, 계피/바닐라, 강황/쿠민, 고소한치즈, 감칠맛치즈, 양파/마늘, 표고버섯/느타리버섯, 훈제, 돼지고기/닭고기, 소고기/양고기, 바비큐/데리야키",https://www.winenara.com/shop/product/product_view?product_cd=03Q648,MARTIN RAY SONOMA COAST PINOT NOIR,미국,"미국,캘리포니아,소노마",MARTIN RAY and ANGELINE WINERY,피노누아(PINOT NOIR) 100%,14.1,3.8,레드,3,0,3,2,164,61,구매 예약,https://www.winenara.com/uploads/product/550/2744_detail_066.png,4.37520455
114,에이 투 지 오레곤 버블스 로제,35000,"짠맛치즈, 버터맛치즈, 고소한치즈, 감칠맛치즈, 당근/호박, 조개/굴, 바닷가재/게, 살루미/베이컨, 새우",https://www.winenara.com/shop/product/product_view?product_cd=02A726,A TO Z OREGON BUBBLES ROSE,미국,오레곤,에이 투 지 와인웍스,"피노 누아(PINOT NOIR) 90%, 샤르도네(CHARDONNAY) 10%",12.5,3.8,스파클링,3,1,3,0,166,162,구매 예약,https://www.winenara.com/uploads/product/550/2561_detail_078.png,4.37148552
115,캔달 잭슨 빈트너스 리저브 샤르도네,43000,"버터맛치즈, 고소한치즈, 양파/마늘, 표고버섯/느타리버섯, 바닷가재/게, 돼지고기/닭고기, 새우",https://www.winenara.com/shop/product/product_view?product_cd=04D087,KENDALL JACKSON VINTNER'S RESERVE CHARDONNAY,미국,캘리포니아,잭슨 패밀리 와인,샤르도네 (Chardonnay) 100%,13.5,3.9,화이트,3,0,3,0,167,597,구매 예약,https://www.winenara.com/uploads/product/550/506_detail_160.jpeg,4.469626005
116,하디스 스탬프 카베르네 메를로,12900,"강황/쿠민, 그릴/바베큐, 소고기/양고기",https://www.winenara.com/shop/product/product_view?product_cd=03Q352,HARDYS STAMP CABERNET MERLOT,호주,호주 (South Eastern Australia),하디스 (Hardys),카베르네 소비뇽 (Cabernet Sauvignon) & 메를로 (Merlot),11.5,3.5,레드,3,0,4,3,168,219,구매 예약,https://www.winenara.com/uploads/product/550/2057_detail_065.png,4.067766489
117,폴 당장 뀌베 카르트 블랑쉬,59000,"짠맛치즈, 버터맛치즈, 고소한치즈, 감칠맛치즈, 당근/호박, 조개/굴, 바닷가재/게, 살루미/베이컨, 새우",https://www.winenara.com/shop/product/product_view?product_cd=02A679,PAUL DANGIN CUVEE CARTE BLANCHE,프랑스,상파뉴(Champagne),당장 & 필스 (Dangin & Fils),샤르도네 (Chardonnay) 100%,12,3.8,샴페인,3,1,3,0,169,184,구매 예약,https://www.winenara.com/uploads/product/550/1952_detail_033.png,4.365906974
118,피안 델레 비네 로쏘 디 몬탈치노,70000,"파슬리, 계피/바닐라, 강황/쿠민, 고소한치즈, 감칠맛치즈, 양파/마늘, 표고버섯/느타리버섯, 훈제, 돼지고기/닭고기, 소고기/양고기, 바비큐/데리야키",https://www.winenara.com/shop/product/product_view?product_cd=03P413,PIAN DELLE VIGNE ROSSO DE MONTALCINO,이탈리아,"토스카나, 몬탈치노",안티노리,산지오베제 100%,14,3.9,레드,3,1,3,3,170,355,구매 불가,https://www.winenara.com/uploads/product/550/1893_detail_02.png,4.464047459
119,샤또 벨뷰 피작,55000,"파슬리, 계피/바닐라, 강황/쿠민, 고소한치즈, 감칠맛치즈, 양파/마늘, 표고버섯/느타리버섯, 훈제, 돼지고기/닭고기, 소고기/양고기, 바비큐/데리야키",https://www.winenara.com/shop/product/product_view?product_cd=03N520,CHATEAU BELLEVUE FIGEAC,프랑스,쌩떼밀리옹,율리스 카자본,"메를로 85%, 카베르네 프랑 10%, 카베르네 소비뇽 5%",13,3.8,레드,3,1,3,3,171,437,구매 예약,https://www.winenara.com/uploads/product/550/1847_detail_052.png,4.362187944
120,락베어 맥라렌 쉬라즈,39000,"강황/쿠민, 그릴/바베큐, 소고기/양고기",https://www.winenara.com/shop/product/product_view?product_cd=03O626,ROCKBARE MCLAREN SHIRAZ,호주,"남호주, 맥라렌 베일",잭슨 패밀리 와인즈,쉬라즈 100%,14.5,3.9,레드,4,0,4,4,172,254,구매 예약,https://www.winenara.com/uploads/product/550/1767_detail_085.png,4.460328429
121,아콩카구아 코스타 피노누아,60000,"고소한치즈, 양파/마늘, 표고버섯/느타리버섯, 튀김, 돼지고기/닭고기",https://www.winenara.com/shop/product/product_view?product_cd=03O965,ACONCAGUA COSTA PINOT NOIR,칠레,아콩카구아 코스타,비냐 에라주리즈 (Vina Errazuriz),피노누아 100%,13,3.7,레드,3,1,3,3,173,175,구매 예약,https://www.winenara.com/uploads/product/550/1648_detail_09.png,4.258468913
122,샤또 꾸엥스-뤼통 레드,100000,"파슬리, 계피/바닐라, 강황/쿠민, 고소한치즈, 감칠맛치즈, 양파/마늘, 표고버섯/느타리버섯, 훈제, 돼지고기/닭고기, 소고기/양고기, 바비큐/데리야키",https://www.winenara.com/shop/product/product_view?product_cd=03N871,CHATEAU COUHINS LURTON RED,프랑스,"프랑스, 보르도, 뻬삭 레오냥",앙드레 뤼통 (Andre Lurton),"메를로(Merlot) 75%, 까베르네 소비뇽(Cabernet Sauvignon) 25%",12.5,4,레드,3,0,3,4,178,519,구매 예약,https://www.winenara.com/uploads/product/550/1433_detail_056.png,4.549171338
123,글로리오소 리오하 레세르바,39000,"파슬리, 계피/바닐라, 강황/쿠민, 고소한치즈, 감칠맛치즈, 양파/마늘, 표고버섯/느타리버섯, 훈제, 돼지고기/닭고기, 소고기/양고기, 바비큐/데리야키",https://www.winenara.com/shop/product/product_view?product_cd=03K434,GLORIOSO RIOJA RESERVA,스페인,리오하,보데가스 팔라치오,템프라니요(Tempranillo) 100%,14,3.8,레드,3,0,3,3,181,249,구매 예약,https://www.winenara.com/uploads/product/550/1184_detail_025.png,4.343592792
124,에라주리즈 에스테이트 카르메네르,17900,"강황/쿠민, 그릴/바베큐, 소고기/양고기",https://www.winenara.com/shop/product/product_view?product_cd=04C038,ERRAZURIZ ESTATE CARMENERE,칠레,라펠 밸리,비냐 에라주리즈,까르메네르 (Carmenere) 100%,13.5,3.7,레드,3,0,3,2,182,168,구매 예약,https://www.winenara.com/uploads/product/550/2958_detail_031.png,4.241733277
125,맥스 리제르바 카르메네르,24900,"파슬리, 계피/바닐라, 강황/쿠민, 고소한치즈, 감칠맛치즈, 양파/마늘, 표고버섯/느타리버섯, 훈제, 돼지고기/닭고기, 소고기/양고기, 바비큐/데리야키",https://www.winenara.com/shop/product/product_view?product_cd=03M613,MAX RESERVA CARMENERE,칠레,아콩카구아 밸리,비냐 에라주리즈,까르메네르 (Carmenere) 100%,14,3.8,레드,3,1,4,3,183,224,구매 예약,https://www.winenara.com/uploads/product/550/1031_detail_051.png,4.339873762
126,아방트 샤르도네,29000,"민트/바질, 파슬리, 짠맛 치즈, 고소한 치즈, 상추/아보카도, 양파/마늘, 바닷가재/게, 버터맛 치즈, 감칠맛 치즈, 당근/호박, 찜, 생선, 새우",https://www.winenara.com/shop/product/product_view?product_cd=04B507,AVANT CHARDONNAY,미국,캘리포니아,잭슨 패밀리 와인,샤르도네(Chardonnay) 100%,13.5,3.7,화이트,3,0,2,0,184,656,구매 불가,https://www.winenara.com/uploads/product/550/831_detail_065.png,4.238014246
127,샤또 라 루비에르 레드,99000,"계피/바닐라, 고소한 치즈, 양파/마늘, 훈제, 소고기/양고기, 바비큐/데리야키, 파슬리, 강황/쿠민, 감칠맛 치즈, 표고버섯/느타리버섯, 돼지고기/닭고기",https://www.winenara.com/shop/product/product_view?product_cd=03M345,CHATEAU LA LOUVIERE RED,프랑스,"보르도, 빼삭 레오냥",앙드레 뤼통,"까베르네 소비뇽(Cabernet Sauvignon) 64%, 메를로(Merlot) 30%, 까베르네 프랑(Cabernet Franc) 3%, 쁘띠 베르도(Petit Verdot) 3%",12.5,3.9,레드,3,0,4,4,185,238,구매 예약,https://www.winenara.com/uploads/product/550/753_detail_022.png,4.436154731
128,루이 라뚜르 알록스 꼬똥,150000,"계피/바닐라, 고소한 치즈, 양파/마늘, 훈제, 소고기/양고기, 바비큐/데리야키, 파슬리, 강황/쿠민, 감칠맛 치즈, 표고버섯/느타리버섯, 돼지고기/닭고기",https://www.winenara.com/shop/product/product_view?product_cd=03R116,LOUIS LATOUR ALOXE CORTON,프랑스,"부르고뉴, 꼬뜨 드 본, 알록스 꼬똥",루이 라뚜르,피노누아(Pinot Noir) 100%,13.5,4.1,레드,3,0,4,3,188,565,구매 예약,https://www.winenara.com/uploads/product/550/531_detail_045.png,4.630576186
129,루이 부요 크레망 드 부르고뉴 로제,32000,"짠맛 치즈, 고소한 치즈, 조개/굴, 바닷가재/게, 버터맛 치즈, 감칠맛 치즈, 당근/호박, 살루미/베이컨, 새우",https://www.winenara.com/shop/product/product_view?product_cd=02A789,LOUIS BOUILLOT CREMANT DE BOURGOGNE ROSE,프랑스,"프랑스,부르고뉴",루이 부요(Louis Bouillot),"샤르도네(CHARDONNAY),가메(GAMAY), 피노 누아(PINOT NOIR)",12.5,3.8,로제,3,0,2,0,189,48,구매 예약,https://www.winenara.com/uploads/product/550/2780_detail_084.png,4.328716671
130,폴 당장 트레디시옹 밀레짐 2014,69000,"짠맛 치즈, 고소한 치즈, 조개/굴, 바닷가재/게, 버터맛 치즈, 감칠맛 치즈, 당근/호박, 살루미/베이컨, 새우",https://www.winenara.com/shop/product/product_view?product_cd=02A681,PAUL DANGIN TRADITION MILLESIME 2014,프랑스,상파뉴,SARL DANGIN,"피노 누아(PINOT NOIR), 샤르도네(CHARDONNAY)",12,3.9,샴페인,3,0,3,0,190,69,구매 예약,https://www.winenara.com/uploads/product/550/2728_detail_091.png,4.426857155
131,퍼스트 드랍 더 크림 쉬라즈,280000,"그릴/바베큐, 소고기/양고기, 강황/쿠민",https://www.winenara.com/shop/product/product_view?product_cd=03Q555,FIRST DROP THE CREAM SHIRAZ,호주,바로사밸리,FIRST DROP WINES,쉬라즈(SHIRAZ) 100%,13,4.3,레드,3,0,4,4,192,78,구매 예약,https://www.winenara.com/uploads/product/550/2694_detail_06.png,4.823138125
132,커치 팔스타프 빈야드 소노마 코스트 피노누아,119000,"계피/바닐라, 고소한 치즈, 양파/마늘, 훈제, 소고기/양고기, 바비큐/데리야키, 파슬리, 강황/쿠민, 감칠맛 치즈, 표고버섯/느타리버섯, 돼지고기/닭고기",https://www.winenara.com/shop/product/product_view?product_cd=03Q219,KUTCH FALSTAFF VINEYARD SONOMA COAST PINOT NOIR,미국,"미국,캘리포니아,소노마",Kutch Wines,피노누아 (PINOT NOIR) 100%,12.5,4.1,레드,4,1,3,3,193,663,구매 예약,https://www.winenara.com/uploads/product/550/2664_detail_060.png,4.62127861
133,닥터루젠 리슬링,18000,"민트/바질, 파슬리, 짠맛 치즈, 고소한 치즈, 상추/아보카도, 양파/마늘, 바닷가재/게, 버터맛 치즈, 감칠맛 치즈, 당근/호박, 찜, 생선, 새우",https://www.winenara.com/shop/product/product_view?product_cd=04D725,DR. LOOSEN RIESLING,독일,"독일, 모젤",WEINGUT DR. LOOSEN,리슬링 (RIESLING) 100%,8.5,3.9,화이트,4,2,3,0,194,25,구매 예약,https://www.winenara.com/uploads/product/550/2654_detail_095.png,4.419419095
134,제나토 소아베 클라시코,22000,"민트/바질, 파슬리, 짠맛 치즈, 고소한 치즈, 상추/아보카도, 양파/마늘, 바닷가재/게, 버터맛 치즈, 감칠맛 치즈, 당근/호박, 찜, 생선, 새우",https://www.winenara.com/shop/product/product_view?product_cd=04D657,ZENATO SOAVE CLASSICO DOC,이탈리아,베네토,제나토,"가르가네가 70%, 샤르도네 30%",13.5,3.5,화이트,4,0,1,0,197,204,구매 예약,https://www.winenara.com/uploads/product/550/2047_detail_012.png,4.013840549
135,하트포드 코트 랜즈 엣지 피노누아,139000,"고소한 치즈, 양파/마늘, 표고버섯/느타리버섯, 튀김, 돼지고기/닭고기",https://www.winenara.com/shop/product/product_view?product_cd=03R252,HARTFORD COURT LANDS EDGE PINOT NOIR,미국,"캘리포니아, 소노마, 러시안 리버 밸리",하트포드 패밀리 와이너리,피노 누아 100%,14.9,4.3,레드,3,0,3,2,200,325,구매 예약,https://www.winenara.com/uploads/product/550/1894_detail_067.png,4.808262004
136,산타 크리스티나 키안티 수페리오레,29000,"계피/바닐라, 고소한 치즈, 양파/마늘, 훈제, 소고기/양고기, 바비큐/데리야키, 파슬리, 강황/쿠민, 감칠맛 치즈, 표고버섯/느타리버섯, 돼지고기/닭고기",https://www.winenara.com/shop/product/product_view?product_cd=03O602,SANTA CRISTINA CHIANTI SUPERIORE,이탈리아,토스카나,산타 크리스티나 / 안티노리,산지오베제 외 토착품종 블렌딩,13,3.7,레드,3,0,3,3,201,455,구매 예약,https://www.winenara.com/uploads/product/550/1844_detail_04.png,4.206402488
137,락베어 클레어 밸리 리슬링,39000,"민트/바질, 파슬리, 짠맛 치즈, 고소한 치즈, 상추/아보카도, 양파/마늘, 바닷가재/게, 버터맛 치즈, 감칠맛 치즈, 당근/호박, 찜, 생선, 새우",https://www.winenara.com/shop/product/product_view?product_cd=04D452,ROCKBARE CLAREVALLEY RIESLING,호주,"남호주, 클레어밸리",잭슨 패밀리 와인즈,리슬링 100%,12.5,3.8,화이트,4,1,3,0,203,182,구매 예약,https://www.winenara.com/uploads/product/550/1771_detail_07.png,4.302683458
138,쿠네 리오하 그란 레세르바,65000,"계피/바닐라, 고소한 치즈, 양파/마늘, 훈제, 소고기/양고기, 바비큐/데리야키, 파슬리, 강황/쿠민, 감칠맛 치즈, 표고버섯/느타리버섯, 돼지고기/닭고기",https://www.winenara.com/shop/product/product_view?product_cd=03K891,CUNE RIOJA GRAN RESERVA,스페인,리오하 알타,쿠네 (CVNE),"템프라니요 (Tempranillo) 85%, 그라시아노 (Graciano) 10%, 마주엘로 (Mazuelo)15%",13.5,4,레드,4,1,4,3,205,536,구매 예약,https://www.winenara.com/uploads/product/550/1513_detail_093.png,4.498964428
139,본테라 메를로,30000,"계피/바닐라, 고소한 치즈, 양파/마늘, 훈제, 소고기/양고기, 바비큐/데리야키, 파슬리, 강황/쿠민, 감칠맛 치즈, 표고버섯/느타리버섯, 돼지고기/닭고기",https://www.winenara.com/shop/product/product_view?product_cd=03M907,BONTERRA MERLOT,미국,"캘리포니아, 멘도치노 카운티",펫져 (Fetzer) /소유주 : 칠레 콘차 이 토로 (Concha y Toro),"메를로, 그르나슈, 시라, 말벡",14.6,3.7,레드,3,1,3,2,206,488,구매 불가,https://www.winenara.com/uploads/product/550/1496_detail_070.png,4.197104912
140,레 로까이,13000,"계피/바닐라, 고소한 치즈, 양파/마늘, 훈제, 소고기/양고기, 바비큐/데리야키, 파슬리, 강황/쿠민, 감칠맛 치즈, 표고버섯/느타리버섯, 돼지고기/닭고기",https://www.winenara.com/shop/product/product_view?product_cd=03J396,LES ROCAILLES,프랑스,보르도,앙드레 뤼통,"까베르네 소비뇽(Cabernet Sauvignon) 50%, 메를로(Merlot) 50%",12.5,3.2,레드,3,1,2,3,208,641,구매 예약,https://www.winenara.com/uploads/product/550/1099_detail_02.png,3.693385882
141,루이 라뚜르 제브리 샹베르땡,200000,"계피/바닐라, 고소한 치즈, 양파/마늘, 훈제, 소고기/양고기, 바비큐/데리야키, 파슬리, 강황/쿠민, 감칠맛 치즈, 표고버섯/느타리버섯, 돼지고기/닭고기",https://www.winenara.com/shop/product/product_view?product_cd=04E079,LOUIS LATOUR GEVREY CHAMBERTIN,프랑스,"부르고뉴, 꼬뜨 드 뉘-제브리 샹베르땡",루이 라뚜르,피노 누아 (Pinot Noir) 100%,13,4,레드,3,0,4,3,209,368,구매 예약,https://www.winenara.com/uploads/product/550/310271c42a060a314e82ee9794d6615e.png,4.491526367
142,캔달 잭슨 그랑 리저브 샤르도네,59000,"고소한 치즈, 양파/마늘, 바닷가재/게, 버터맛 치즈, 표고버섯/느타리버섯, 돼지고기/닭고기, 새우",https://www.winenara.com/shop/product/product_view?product_cd=04C466,KENDALL JACKSON GRAND RESERVE CHARDONNAY,미국,"캘리포니아, 산타바바라 카운티, 몬테레이 카운티",잭슨 패밀리 와인,샤르도네 (Chardonnay) 100%,13.5,3.8,화이트,4,0,3,0,211,639,구매 예약,https://www.winenara.com/uploads/product/550/834_detail_016.png,4.287807337
143,아콩카구아 코스타 시라,60000,"그릴/바베큐, 소고기/양고기, 강황/쿠민",https://www.winenara.com/shop/product/product_view?product_cd=03N597,ACONCAGUA COSTA SYRAH,칠레,아콩카구아 코스타,비냐 에라주리즈,시라(Syrah) 100%,13.5,3.9,레드,3,0,4,4,212,557,구매 불가,https://www.winenara.com/uploads/product/550/539_detail_061.png,4.385947821
144,베라짜노 키안티 클라시코,42000,"계피/바닐라, 고소한 치즈, 양파/마늘, 훈제, 소고기/양고기, 바비큐/데리야키, 파슬리, 강황/쿠민, 감칠맛 치즈, 표고버섯/느타리버섯, 돼지고기/닭고기",https://www.winenara.com/shop/product/product_view?product_cd=03I079,VERRAZZANO CHIANTI CLASSICO,이탈리아,토스카나-키안티 클라시코,카스텔로 디 베라짜노,"산지오베제,까나이올로",14.5,3.8,레드,4,1,3,3,213,575,구매 불가,https://www.winenara.com/uploads/product/550/528_detail_04.png,4.284088306
145,프루노토 랑게 아르네이스,30000,"계피/바닐라, 고소한 치즈, 양파/마늘, 훈제, 소고기/양고기, 바비큐/데리야키, 파슬리, 강황/쿠민, 감칠맛 치즈, 표고버섯/느타리버섯, 돼지고기/닭고기",https://www.winenara.com/shop/product/product_view?product_cd=04D241,PRUNOTTO LANGHE ARNEIS,이탈리아,피에몬테,"프루노토, 안티노리",아르네이스(ARNEIS) 100%,13,3.7,화이트,3,0,2,0,214,423,구매 예약,https://www.winenara.com/uploads/product/550/2871_detail_061.png,4.182228791
