,인기순위,이름,영문이름,종류,나라,생산지,제조사,포도품종,알코올도수,가격,평점,산도,당도,바디감,탄닌,주소,추천순위,구매가능여부
380,381,카스텔로 데이 람폴라 키안티 클라시코 DOCG,CASTELLO DEI RAMPOLLA CHIANTI CLASSICO DOCG,Red,이탈리아,토스카나,카스텔로 데이 람폴라(CASTELLO DEI RAMPOLLA),산지오베제(SANGIOVESE) 100%,13.5,100000,3.9,4,0,3,3,https://www.winenara.com/goods/goods_view.php?goodsNo=2955,405,구매 예약
381,382,카스텔로 데이 람폴라 산지오베제,CASTELLO DEI RAMPOLLA SANGIOVESE DI S. LUCIA,Red,이탈리아,토스카나,카스텔로 데이 람폴라(CASTELLO DEI RAMPOLLA),산지오베제(SANGIOVESE) 100%,14.5,130000,3.8,3,0,5,3,https://www.winenara.com/goods/goods_view.php?goodsNo=2954,406,구매 예약
382,383,마스 가비넬 인액세서블,MAS GABINELE INACCESSIBLE,Red,프랑스,남프랑스,마스 가비넬(MAS GABINELE),"무드베드르(MOURVEDRE)65%, 시라(SYRAH)20%, 그르나슈(GRENACHE) 15%",15.0,199000,4.1,3,0,4,4,https://www.winenara.com/goods/goods_view.php?goodsNo=2926,409,구매 불가
383,384,마스 가비넬 포줴흐 레드,MAS GABINELE FAUGERES RED,Red,프랑스,남프랑스,마스 가비넬(MAS GABINELE),"그르나슈(GRENACHE) 40%, 시라(SYRAH)30%, 무드베드르(MOURVEDRE)15%, 카리냥(CARIGNAN)15%",14.5,39000,3.7,3,0,3,3,https://www.winenara.com/goods/goods_view.php?goodsNo=2924,411,구매 예약
384,385,마스 가비넬 그르나슈 그리,MAS GABINELE GRENACHE GRIS,White,프랑스,남프랑스,마스 가비넬(MAS GABINELE),그르나슈 그리(GRENACHE GRIS) 100%,14.0,39000,3.6,3,0,3,0,https://www.winenara.com/goods/goods_view.php?goodsNo=2923,412,구매 예약
385,386,뛰느뱅 샤또 쉬빌로,THUNEVIN CHATEAU SUBILAUX,Red,프랑스,보르도,뛰느뱅(Thunevin),"메를로(MERLOT)90%, 카베르네 소비뇽(CABERNET SAUVIGNON)10%",14.0,40000,3.4,3,0,4,3,https://www.winenara.com/goods/goods_view.php?goodsNo=2922,413,구매 예약
386,387,딜레 슈프림,DILE SUPREME,Red,이탈리아,피에몬테,산테로,"바르베라(BARBERA) 40%, 카베르네 소비뇽(CABERNET SAUVIGNON) 40%, 피노 네로(PINOT NERO)20%",14.0,35000,3.6,3,0,4,3,https://www.winenara.com/goods/goods_view.php?goodsNo=2912,414,구매 불가
387,388,마쎄리아 도피오 파쏘 '뀌베 16',MASSERIA DOPPIO PASSO 'CUVEE 16',Red,이탈리아,풀리아,마쎄리아 도피오 파쏘(Masseria Doppio Passo),"네그로 아마로(NEGROAMARO)70%, 진판델(ZINFANDEL)30%",16.0,50000,3.9,3,0,4,3,https://www.winenara.com/goods/goods_view.php?goodsNo=2902,416,구매 예약
388,389,필라보아 몬테 알토 알바리뇨,FILLABOA FINCA MONTE ALTO,White,스페인,"스페인, 리아스 바이아스",MASAVEU BODEGAS/FILLABOA,알바리뇨(ALBARINO) 100%,13.5,80000,3.9,3,0,3,0,https://www.winenara.com/goods/goods_view.php?goodsNo=2880,417,구매 예약
389,390,보네 루즈 가메 누아,BONNET ROUGE GAMAY NOIR,Red,프랑스,보졸레,보네 루즈(BONNET ROUGE),가메(GAMAY) 100%,13.0,22000,3.6,3,0,2,2,https://www.winenara.com/goods/goods_view.php?goodsNo=2879,418,구매 예약
390,391,코림비아 템프라니요 말벡,CORYMBIA TEMPRANILLO MALBEC,Red,호주,"서호주,스완밸리",코림비아(CORYMBIA WINE PTY LTD),"템프라니요(TEMPRANILLO) 62%, 말벡(MALBEC) 38%",13.9,72000,3.9,3,0,4,3,https://www.winenara.com/goods/goods_view.php?goodsNo=2877,419,구매 예약
391,392,파크 에 피스 퀴베 오로레 블랑 드 블랑 프리미에 크뤼,PAQUES & FILS CUVEE AURORE BDB 1er,Champagne,프랑스,"프랑스, 상파뉴",파크 에 피스,샤르도네(CHARDONNAY) 100%,12.5,85000,4.2,3,0,4,0,https://www.winenara.com/goods/goods_view.php?goodsNo=2875,421,구매 예약
392,393,파크 에 피스 퀴베 오리진 프리미에 크뤼,PAQUES ET FILS CUVEE ORIGINE 1ER,Champagne,프랑스,"프랑스, 상파뉴",파크 에 피스,"샤르도네(CHARDONNAY) 80%, 피노 누아(PINOT NOIR) 20%",12.5,99000,4.1,3,0,3,0,https://www.winenara.com/goods/goods_view.php?goodsNo=2874,422,구매 예약
393,394,모리스 가비네 뫼르소,MAURICE GAVIGNET MEURSAULT,White,프랑스,부르고뉴,모리스 가비네,샤르도네 (CHARDONNAY) 100%,13.0,180000,4.0,3,0,2,0,https://www.winenara.com/goods/goods_view.php?goodsNo=2873,634,구매 불가
394,395,모리스 가비네 뽀마르,MAURICE GAVIGNET POMMARD,Red,프랑스,부르고뉴,모리스 가비네,피노 누아(PINOT NOIR) 100%,13.0,120000,4.0,3,0,2,2,https://www.winenara.com/goods/goods_view.php?goodsNo=2872,635,구매 불가
395,396,샴페인 에띠엔 깔삭 레샤뻬 벨 블랑 드 블랑 1ER,CHAMPAGNE PALMER BRUT RESERVE,Champagne,프랑스,상파뉴,SARL ETIENNE CALSAC,샤르도네(CHARDONNAY) 100%,12.0,180000,4.1,3,0,3,0,https://www.winenara.com/goods/goods_view.php?goodsNo=2870,45,구매 불가
396,397,파크 에 피스 카르트 루즈 프리미에 크뤼,PAQUES & FILS CARTE ROUGE 1ER,Champagne,프랑스,"프랑스, 상파뉴",파크 에 피스,"피노 누아(PINOT NOIR) 50%, 샤르도네(CHARDONNAY) 50%",12.5,69000,4.1,3,0,4,0,https://www.winenara.com/goods/goods_view.php?goodsNo=2866,424,구매 예약
397,398,파크 에 피스 브뤼 나투르 프리미에 크뤼,PAQUES ET FILS BRUT NATURE 1ER,Champagne,프랑스,"프랑스, 상파뉴",파크 에 피스,"피노 누아(PINOT NOIR) 80%, 피노 므니에(PINOT MEUNIER) 20%",12.5,79000,4.2,3,0,3,0,https://www.winenara.com/goods/goods_view.php?goodsNo=2865,425,구매 예약
398,399,파크 에 피스 그랑 리저브 프리미에 크뤼,PAQUES ET FILS GRANDE RESERVE 1ER,Champagne,프랑스,"프랑스, 상파뉴",파크 에 피스,"샤르도네(CHARDONNAY) 70%, 피노 누아(PINOT NOIR) 30%",12.5,89000,4.0,3,0,3,0,https://www.winenara.com/goods/goods_view.php?goodsNo=2864,426,구매 예약
399,400,부온크리스티아니 오피씨 나파 밸리 레드,BUONCRISTIANI O.P.C NAPA VALLEY RED,Red,미국,"미국, 캘리포니아,나파",부온크리스티아니,"카베르네 소비뇽(CABERNET SAUVIGNON) 44%, 말벡(MALBEC) 28%, 시라(SYRAH) 24%, 메를로(MERLOT) 4%",14.5,180000,4.2,3,0,4,5,https://www.winenara.com/goods/goods_view.php?goodsNo=2863,427,구매 예약
400,401,부온크리스티아니 나파 밸리 카베르네 소비뇽,BUONCRISTIANI NAPA VALLEY CABERNET SAUVIGON,Red,미국,"미국, 캘리포니아,나파",부온크리스티아니,"카베르네 소비뇽(CABERNET SAUVIGNON) 95%, 말벡(MALBEC) 3%, 쁘띠 베르도(PETIT VERDOT)2%",15.0,280000,4.4,3,0,5,5,https://www.winenara.com/goods/goods_view.php?goodsNo=2862,428,구매 예약
401,402,부온크리스티아니 나파 밸리 샤르도네,BUONCRISTIANI NAPA VALLEY CHARDONNAY,White,미국,"미국, 캘리포니아,나파",부온크리스티아니,샤르도네(CHARDONNAY) 100%,14.4,140000,4.1,3,0,4,0,https://www.winenara.com/goods/goods_view.php?goodsNo=2861,429,구매 예약
402,403,스칼라브로네 볼게리 로제,SCALABRONE BOLGHERI ROSE,Rose,이탈리아,"이탈리아,토스카나",안티노리,"카베르네 소비뇽(CABERNET SAUVIGNON) 40%, 메를로(MERLOT) 30%, 시라(SYRAH) 30%",12.5,39000,3.9,4,0,3,1,https://www.winenara.com/goods/goods_view.php?goodsNo=2860,430,구매 불가
403,404,브라미토 델 체르보,BRAMITO DEL CERVO,White,이탈리아,"이탈리아,움브리아",안티노리,샤르도네(CHARDONNAY) 100%,12.5,48000,3.9,3,0,3,0,https://www.winenara.com/goods/goods_view.php?goodsNo=2859,431,구매 불가
404,405,도멘 베르타냐 샹볼 뮈지니 빌라쥐,DOMAINE BERTAGNA CHAMBOLLE MUSIGNY VILLAGE,Red,프랑스,"프랑스, 부르고뉴",도멘 베르타냐 DOMAINE BERTAGNA,피노누아(PINOT NOIR) 100%,13.0,160000,4.0,4,0,3,3,https://www.winenara.com/goods/goods_view.php?goodsNo=2858,167,구매 예약
405,406,트림바크 리저브 피노누아,TRIMBACH RESERVE PINOT NOIR,Red,프랑스,"프랑스, 알자스",트림바크,피노누아(PINOT NOIR) 100%,13.0,60000,3.7,4,0,3,3,https://www.winenara.com/goods/goods_view.php?goodsNo=2857,364,구매 예약
406,407,시모네 페브르 샤블리 1등급,SIMONNET FEBVRE CHABLIS 1ER CRU,White,프랑스,"부르고뉴, 샤블리",시모네 페브르 (Simonnet Febvre),샤르도네 (Chardonnay) 100%,13.0,60000,3.9,4,1,2,0,https://www.winenara.com/goods/goods_view.php?goodsNo=2856,525,구매 불가
407,408,어니스트 레미 옥시모어 그랑크뤼,ERNEST REMY OXYMORE GRAND CRU,Champagne,프랑스,"프랑스,상파뉴",어니스트 레미,"피노누아(PINOT NOIR) 60%, 샤르도네(CHARDONNAY) 40%",12.0,139,4.4,3,0,4,0,https://www.winenara.com/goods/goods_view.php?goodsNo=2854,144,구매 예약
408,409,로스 인토카블레스 샤르도네,LOS INTOCABLES CHARDONNAY,White,아르헨티나,아르헨티나,핀카 라스 모라스 Finca Las Moras (Penaflor),샤르도네(CHARDONNAY) 100%,12.0,32000,3.7,3,0,4,0,https://www.winenara.com/goods/goods_view.php?goodsNo=2852,327,구매 예약
409,410,로스 인토카블레스 카베르네 소비뇽,LOS INTOCABLES CABERNET SAUVIGNON,Red,아르헨티나,아르헨티나,핀카 라스 모라스 Finca Las Moras (Penaflor),카베르네 소비뇽(CABERNET SAUVIGNON) 100%,13.5,32000,3.8,3,0,4,3,https://www.winenara.com/goods/goods_view.php?goodsNo=2851,328,구매 예약
410,411,베커스 시라 그르나슈,BEKKERS SYRAH GRENACHE,Red,호주,맥라렌 베일,베커스(BEKKERS),"시라(SYRAH) 64%, 그르나슈(GRENACHE) 36%",14.0,120000,4.3,3,0,4,4,https://www.winenara.com/goods/goods_view.php?goodsNo=2812,186,구매 예약
