,인기순위,이름,영문이름,종류,나라,생산지,제조사,포도품종,알코올도수,가격,평점,산도,당도,바디감,탄닌,주소,추천순위,구매가능여부
0,1,푸나무 소비뇽블랑,POUNAMU SAUVIGNON BLANC,White,뉴질랜드,말보로,리틀뷰티 (Little Beauty),소비뇽블랑 (Sauvignon Blanc) 100%,13.0,32000,4.0,4,0,2,0,https://www.winenara.com/goods/goods_view.php?goodsNo=1521,323,구매 예약
1,2,시모네 페브르 크레망 드 부르고뉴 브뤼,SIMONNET FEBVRE CREMANT DE BOURGOGNE BRUT,Sparkling,프랑스,부르고뉴,시모네 페브르,"샤르도네(Chardonnay) 60%, 피노 누아(Pinot Noir) 40%",12.5,32000,3.7,3,1,2,0,https://www.winenara.com/goods/goods_view.php?goodsNo=1309,480,구매 예약
2,3,아발론 카베르네소비뇽,AVALON CALIFORNIA,Red,미국,캘리포니아,아발론 와이너리,"까베르네 소비뇽 (Cabernet Sauvignon) 76%, 시라 (Syrah) 13%,진판델 (Zinfandel) 7%, 메를로 (Merlot) 4%",13.8,24900,3.5,3,1,3,3,https://www.winenara.com/goods/goods_view.php?goodsNo=617,514,구매 예약
3,4,더 프리즈너,The Prisoner,Red,미국,나파 밸리,더 프리즈너 와인 컴퍼니,"진판델 (Zinfandel) 44%, 까베르네 소비뇽 (Cabernet Sauvignon) 20%, 쁘띠 시라 (Petite Syrah) 16%, 샤르보노 (Charbono) 2%",13.9,120000,4.4,4,1,4,4,https://www.winenara.com/goods/goods_view.php?goodsNo=1929,482,구매 불가
4,5,이자디 엘 레갈로,IZADI EL REGALO,Red,스페인,리오하,보데가스 이자디 (Bodegas Izadi),"템프라니요 (Tempranillo) 90%, 가르나차 (Garnacha), 그라시아노 (Graciano), 마주엘로 (Mazuelo) 10%",14.1,77000,4.0,3,0,4,3,https://www.winenara.com/goods/goods_view.php?goodsNo=1357,155,구매 불가
5,6,파이퍼 하이직 뀌베 브뤼,PIPER HEIDSIECK CUVEE BRUT,Champagne,프랑스,샴페인,파이퍼 하이직,"피노 누아 (Pinot Noir), 피노 므니에 (Pinot Meunier)",12.0,75000,4.0,3,1,3,0,https://www.winenara.com/goods/goods_view.php?goodsNo=1145,372,구매 불가
6,7,빌라 안티노리 키안티 클라시코 리제르바,VILLA ANTINORI CHIANTI CLASSICO RISERVA,Red,이탈리아,"토스카나, 키안티 클라시코",안티노리,"산지오베제 90%, 카베르네 소비뇽 10%",14.0,39000,4.0,3,0,3,4,https://www.winenara.com/goods/goods_view.php?goodsNo=1240,117,구매 불가
7,8,톨퍼들 빈야드 샤르도네,TOLPUDDLE VINEYARD CHARDONNAY,White,호주,"호주, 타스매니아",SHAW AND SMITH,샤르도네(CHARDONNAY) 100%,12.5,100000,4.2,3,0,4,0,https://www.winenara.com/goods/goods_view.php?goodsNo=2752,54,구매 불가
8,9,프루노토 모스카토 다스티,PRUNOTTO MOSCATO D'ASTI,Sparkling,이탈리아,"피에몬테, 아스티","프루노토, 안티노리",까넬리 모스카토 비앙코(Canelli Moscato Bianco) 100%,5.0,25000,4.0,1,5,2,0,https://www.winenara.com/goods/goods_view.php?goodsNo=985,444,구매 불가
9,10,게르겐티 일 베로 시칠리아노,GERGENTI IL VERO SICILIANO,Red,이탈리아,시칠리아,쉥크 이탈리아,"네로다볼라, 네넬로 마스칼레제, 프라파토",15.0,29000,4.0,3,1,4,3,https://www.winenara.com/goods/goods_view.php?goodsNo=1798,474,구매 예약
10,11,페폴리 키안티 클라시코,PEPPOLI CHIANTI CLASSICO,Red,이탈리아,"토스카나, 키안티 클라시코",안티노리,"산지오베제(Sangiovese) 90%, 메를로(Merlot), 시라(Syrah) 10%",13.0,48000,3.8,4,0,3,3,https://www.winenara.com/goods/goods_view.php?goodsNo=498,609,구매 예약
11,12,롱 클라우드 리저브 말보로 소비뇽 블랑,LONG CLOUD RESERVE MARLBOROUGH SAUVIGNON BLANC,White,뉴질랜드,말보로,롱 클라우드 ( Long Cloud ),소비뇽블랑 (Sauvignon Blanc) 100%,12.0,24000,3.8,3,0,2,0,https://www.winenara.com/goods/goods_view.php?goodsNo=1599,236,구매 예약
12,13,산타 크리스티나 브뤼,SANTA CRISTINA BRUT,Sparkling,이탈리아,롬바르디아 & 트렌티노,산타 크리스티나 / 안티노리 (Santa Cristina / Antinori),"샤르도네 (Chardonnay), 피노 블랑 (Pinot Blanc), 피노 누아 (Pinot Noir",12.5,33000,3.6,3,1,3,0,https://www.winenara.com/goods/goods_view.php?goodsNo=1354,174,구매 예약
13,14,루이 라뚜르 피노누아,LOUIS LATOUR PINOT NOIR,Red,프랑스,부르고뉴,루이 라뚜르,피노 누아 (Pinot Noir) 100%,13.0,48000,3.6,3,0,2,2,https://www.winenara.com/goods/goods_view.php?goodsNo=493,630,구매 예약
14,15,마니피코 푸오코 로쏘 리제르바,MAGNIFICO FUOCO ROSSO RISERVA,Red,이탈리아,"풀리아, 만두리아",까사 비니꼴라 보테 카를로,프리미티보,14.5,25000,3.9,3,1,4,4,https://www.winenara.com/goods/goods_view.php?goodsNo=1816,99,구매 예약
15,16,카사 마르텔레티 모스카토 다스티,CASA MARTELLETTI MOSCATO D'ASTI,Sparkling,이탈리아,"이태리, 피에몬테, 아스티",펠리노 (Perlino S.p.A),모스카토(Moscato),5.5,15000,4.0,1,4,1,0,https://www.winenara.com/goods/goods_view.php?goodsNo=1601,173,구매 불가
16,17,펠리노 모스카토,PERLINO MOSCATO,Sparkling,이탈리아,피에몬테 (Piemonte),펠리노 (Perlino S.p.A),모스카토 (Muscato) 100%,6.5,12900,3.9,2,4,2,0,https://www.winenara.com/goods/goods_view.php?goodsNo=1522,92,구매 불가
17,18,티렐 헌터 세미용,TYRRELL HUNTER SEMILLON,White,호주,"뉴사우스 웨일즈, 헌터밸리 (Hunter Valley)",티렐스 와인 (Tyrrell’s Wines),세미용 (Semillon) 100%,11.5,60000,3.6,3,0,2,0,https://www.winenara.com/goods/goods_view.php?goodsNo=1587,573,구매 예약
18,19,빌라 엠 썸,VILLA M SOME,Rose,이탈리아,이탈리아,지아니 갈리아르도 (Gianni Galiardo),브라케토 (Brachetto) 100%,3.0,18000,3.4,1,4,2,0,https://www.winenara.com/goods/goods_view.php?goodsNo=1676,115,구매 불가
19,20,아발론 나파밸리,AVALON NAPA VALLEY,Red,미국,"캘리포니아, 노스 코스트, 나파 밸리",아발론 와이너리,"까베르네 소비뇽 (Cabernet Sauvignon) 80%, 메를로 (Merlot) 16%까베르네 프랑 (Cabernet Franc) 4%",13.9,42000,3.7,3,1,4,4,https://www.winenara.com/goods/goods_view.php?goodsNo=970,483,구매 예약
20,21,글로리오소 리오하 크리안자,GLORIOSO RIOJA CRIANZA,Red,스페인,리오하,보데가스 팔라치오,템프라니요(Tempranillo) 100%,13.5,25000,3.6,3,1,2,2,https://www.winenara.com/goods/goods_view.php?goodsNo=1183,318,구매 예약
21,22,샤삐옹 뀌베 폴,CHAPILLON CUVEE PAUL,Red,스페인,"아라곤, 카라타유드",샤삐옹,가르나차 100%,14.5,26000,3.6,3,0,4,3,https://www.winenara.com/goods/goods_view.php?goodsNo=1721,518,구매 예약
22,23,루이 라뚜르 샤르도네,LOUIS LATOUR CHARDONNAY,White,프랑스,부르고뉴,루이 라뚜르,샤르도네 (Chardonnay) 100%,13.0,35000,3.7,3,0,2,0,https://www.winenara.com/goods/goods_view.php?goodsNo=492,638,구매 불가
23,24,리틀 뷰티 소비뇽 블랑,LITTLE BEAUTY SAUVIGNON BLANC,White,뉴질랜드,"뉴질랜드,말보로",리틀 뷰티,소비뇽 블랑 (Sauvignon Blanc) 100%,13.6,49000,4.2,3,0,2,0,https://www.winenara.com/goods/goods_view.php?goodsNo=1226,265,구매 불가
24,25,산타 크리스티나,SANTA CRISTINA ROSSO IGT,Red,이탈리아,토스카나,산타 크리스티나,"산지오베제(Sangiovese) 60%, 까베르네 소비뇽(Cabernet Sauvignon),메를로(Merot), 시라(Syrah) 40%",13.0,19900,3.6,3,0,3,4,https://www.winenara.com/goods/goods_view.php?goodsNo=799,140,구매 예약
25,26,캔달잭슨 빈트너스 리저브 피노누아,KENDALL JACKSON VINTNER`S RESERVE PINOT NOIR,Red,미국,"미국, 캘리포니아",잭슨 패밀리 와인,피노누아(PINOT NOIR) 100%,14.5,45000,3.7,3,0,4,3,https://www.winenara.com/goods/goods_view.php?goodsNo=2668,659,구매 예약
26,27,리치텔리 헤이 말벡,RICCITELLI HEY MALBEC,Red,아르헨티나,"Uco Valley, Lujan de Cuyo",리치텔리 (Matías Riccitelli),말벡 (Malbec) 100%,14.5,25000,3.7,2,1,4,2,https://www.winenara.com/goods/goods_view.php?goodsNo=2576,341,구매 불가
27,28,보헤미안,BOHEMIAN,Red,이탈리아,피에몬테,까사 비니꼴라 깔디롤라,람부르스코,10.0,7900,2.5,2,3,3,0,https://www.winenara.com/goods/goods_view.php?goodsNo=1833,543,구매 예약
28,29,콘투고,GUADO AL TASSO CONT'UGO,Red,이탈리아,"토스카나, 볼게리",안티노리 (Antinori),메를로 (Merlot) 100%,14.5,80000,4.2,3,0,3,4,https://www.winenara.com/goods/goods_view.php?goodsNo=1635,572,구매 예약
29,30,닥터루젠 블루 슬레이트 리슬링 드라이,DR. LOOSEN BLUE SLATE RIESLING DRY,White,독일,"독일, 모젤",WEINGUT DR. LOOSEN,리슬링 (RIESLING) 100%,12.0,27000,3.9,4,1,3,0,https://www.winenara.com/goods/goods_view.php?goodsNo=2607,33,구매 불가
30,31,젠틀맨즈 컬렉션 샤르도네,GENTLEMAN'S COLLECTION CHARDONNAY,White,호주,"호주, 동남부 지역 (South Eastern Australia)",린드만 (Lindeman’s),샤르도네 (Chardonnay),13.9,40000,3.6,3,1,3,0,https://www.winenara.com/goods/goods_view.php?goodsNo=1421,94,구매 예약
31,32,프리마크 아비 카베르네 소비뇽,FREEMARK ABBEY CABERNET SAUVIGNON,Red,미국,"캘리포니아, 나파 밸리",잭슨 패밀리 와인,"까베르네 소비뇽 (Cabernet Sauvignon) 76.2%, 메를로 (Merlot) 18.8%, 까베르네 프랑 (Cabernet Franc) 2.7% 쁘띠 베르도 (Petit Verdot) 1.3%,말벡 (Malbec) 1%",13.5,150000,4.1,4,0,4,4,https://www.winenara.com/goods/goods_view.php?goodsNo=924,157,구매 예약
32,33,클림트 키스 뀌베 브뤼,KLIMT KISS CUVEE BRUT,Sparkling,기타 구대륙,오스트리아 (Austria),슐럼베르거 (Schlumberger),"웰치리슬링(Welschriesling) , 피노블랑( Pinot blanc),샤르도네(Chardonnay)",11.5,35000,3.6,3,1,2,0,https://www.winenara.com/goods/goods_view.php?goodsNo=1511,594,구매 예약
33,34,맥스 리제르바 카베르네 소비뇽,MAX RESERVA CABERNET SAUVIGNON,Red,칠레,아콩카구아 밸리,비냐 에라주리즈,"까베르네 소비뇽(Cabernet Sauvignon) 88%, 쁘띠 베르도(Petit Verdot) 7%, 까베르네 프랑(Cabernet Franc) 5%",14.0,35000,3.8,3,1,4,3,https://www.winenara.com/goods/goods_view.php?goodsNo=755,225,구매 예약
34,35,프레지던트 초이스 리저브 카베르네 소비뇽,PRESIDENT'S CHOICE RESERVE CABERNET SAUVIGNON,Red,칠레,아콩카구아 밸리,비냐 에라주리즈,카베르네 소비뇽 100%,13.5,25000,3.6,4,1,4,4,https://www.winenara.com/goods/goods_view.php?goodsNo=1889,443,구매 예약
35,36,오이스터 베이 소비뇽 블랑,OYSTER BAY SAUVIGNON BLANC,White,뉴질랜드,말보로,오이스터 베이,소비뇽 블랑 (Sauvignon Blanc) 100%,13.0,35000,3.9,4,1,3,0,https://www.winenara.com/goods/goods_view.php?goodsNo=1181,353,구매 예약
36,37,루이 라뚜르 상뜨네,LOUIS LATOUR SANTENAY,Red,프랑스,"부르고뉴, 꼬뜨 드 본, 상뜨네",루이 라뚜르,피노 누아 (Pinot Noir) 100%,12.5,75000,3.8,3,0,2,2,https://www.winenara.com/goods/goods_view.php?goodsNo=489,503,구매 불가
37,38,우나니메,UNANIME,Red,아르헨티나,멘도자 (Mendoza),페나플로 (Penaflor),"카베르네 소비뇽 (Cabernet Sauvignon) 60%, 말벡 (Malbec) 25%, 카베르네 프랑 (Cabernet Franc) 15%",14.5,70000,4.1,3,1,4,3,https://www.winenara.com/goods/goods_view.php?goodsNo=1617,502,구매 예약
38,39,샤또 기봉 레드,CHATEAU GUIBON RED,Red,프랑스,보르도,앙드레 뤼통,"까베르네 소비뇽(Cabernet Sauvignon) 50%, 메를로(Merlot) 50%",12.5,19000,3.4,2,0,3,3,https://www.winenara.com/goods/goods_view.php?goodsNo=494,622,구매 예약
39,40,라운드 힐 카베르네 소비뇽,Round Hill Cabernet Sauvignon,Red,미국,캘리포니아,러더포드 와인 컴퍼니 (Rutherford Wine Company),카베르네 소비뇽 100%,13.0,22000,3.6,3,1,3,3,https://www.winenara.com/goods/goods_view.php?goodsNo=2565,15,구매 예약
40,41,뀌베 르누아르,CUVEE RENOIR,Champagne,프랑스,"상파뉴 , 꼬뜨 드 바 ( Cote des Bar),오브(Aube)",크리스티앙 세네즈(Christian Senez),"샤르도네 ( Chardonnay ) 50% , 피노누아 ( Pinot Noir ) 50%",12.5,59000,3.7,3,0,3,0,https://www.winenara.com/goods/goods_view.php?goodsNo=1593,469,구매 예약
41,42,양가라 쉬라즈,YANGARRA SHIRAZ,Red,호주,"남호주, 맥라렌 베일",잭슨 패밀리 와인,쉬라즈 (Shiraz) 100%,14.0,60000,3.8,3,0,4,4,https://www.winenara.com/goods/goods_view.php?goodsNo=1128,527,구매 예약
42,43,루이 라뚜르 샤블리,LOUIS LATOUR CHABLIS,White,프랑스,"부르고뉴, 샤블리",루이 라뚜르,샤르도네(Chardonnay) 100%,13.0,62000,4.0,3,0,2,0,https://www.winenara.com/goods/goods_view.php?goodsNo=932,602,구매 불가
43,44,루이 부요 크레망 드 부르고뉴 브뤼,LOUIS BOUILLOT CREMANT DE BOURGOGNE GRAN RESERVE,Sparkling,프랑스,"프랑스,부르고뉴",루이 부요(Louis Bouillot),"알리고테(ALIGOTE), 샤르도네(CHARDONNAY), 가메(GAMAY), PINOT NOIR",12.0,35000,3.8,3,0,2,0,https://www.winenara.com/goods/goods_view.php?goodsNo=2782,46,구매 예약
44,45,샤또 라 카데리 오센티크 보르도 슈페리어,CHATEUA LA CADERIE AUTHENTIQUE BORDEAUX SUPERIEUR,Red,프랑스,"프랑스, 보르도, 보르도 슈페리어",Chateau La Caderie,"메를로(MERLOT) 38%, 카베르네 프랑(CABERNET FRANC) 29%, 카베르네 소비뇽(CABERNET SAUVIGNON) 20%, 쁘띠 베르도(PETIT VERDOT) 13%",14.2,27000,3.8,3,1,2,3,https://www.winenara.com/goods/goods_view.php?goodsNo=2613,27,구매 예약
45,46,포 버튜스 버번 배럴 에이지드 카베르네 소비뇽,4 VIRTUES BOURBON BARREL AGED CABERNET SAUVIGNON,Red,미국,"캘리포니아, 로다이",러더포드 와인 컴퍼니,"카베르네 소비뇽83%, 말벡 14%, 진판델 3%",13.9,60000,4.1,3,0,5,3,https://www.winenara.com/goods/goods_view.php?goodsNo=2584,87,구매 불가
46,47,빌라 안나베르타 아마로네,VILLA ANNABERTA AMARONE,Red,이탈리아,베네토,빌라 안나베르타 (Villa Annaberta),"코르비나, 론디넬라, 몰리나라",14.0,59000,4.1,3,0,3,4,https://www.winenara.com/goods/goods_view.php?goodsNo=1600,98,구매 예약
47,48,빌라 엠 로쏘,VILLA M ROSSO,Red,이탈리아,피에몬테,지아니 갈리아르도,브라케토 (Brachetto) 100%,5.0,32000,4.0,2,4,2,0,https://www.winenara.com/goods/goods_view.php?goodsNo=508,97,구매 예약
48,49,베네가쭈 델라 카사,VENEGAZZU DELLA CASA,Red,이탈리아,베네토,베네가쭈,"카베르네 소비뇽(CABERNET SAUVIGNON) 60%, 메를로(MERLOT) 25%, 카베르네 프랑(CABERNET FRANC) 10%, 말벡(MALBEC) 5%",13.0,35000,4.2,3,0,3,3,https://www.winenara.com/goods/goods_view.php?goodsNo=2876,420,구매 예약
49,50,셀리에 데 프린스 꼬뜨 뒤 론 비에이비뉴,CELLIER DES PRINCES COTES DU RHONE VIELLES VIGNES,Red,프랑스,"남부론, 꼬뜨 뒤 론",셀리에 데 프린스,"GSM (그르나슈 80%, 시라 15%, 무르베드르 5%)",14.0,23000,3.7,3,1,3,3,https://www.winenara.com/goods/goods_view.php?goodsNo=1850,354,구매 예약
50,51,닥터 린드만 빈45 카베르네 소비뇽,LINDEMAN'S BIN 45 CABERNET SAUVIGNON,Red,호주,뉴 사우스 웨일즈 & 빅토리아,린드만 (Lindeman’s),까베르네 소비뇽 (Cabernet Sauvignon),13.5,20000,3.4,3,0,3,3,https://www.winenara.com/goods/goods_view.php?goodsNo=1380,604,구매 예약
51,52,하트포드 코트 러시안 리버 밸리 피노누아,HARTFORD COURT RUSSIAN RIVER VALLEY PINOT NOIR,Red,미국,"소노마, 러시안 리버 밸리",잭슨 패밀리 와인,피노 누아 (Pinot Noir) 100%,14.5,99000,4.2,3,0,4,3,https://www.winenara.com/goods/goods_view.php?goodsNo=964,126,구매 불가
52,53,베이 오브 파이어 리슬링,BAY OF FIRES RIESLING,White,호주,"호주, 타스매니아",베이 오브 파이어,리슬링(RIESLING) 100%,12.5,42000,3.8,3,1,3,0,https://www.winenara.com/goods/goods_view.php?goodsNo=2601,80,구매 불가
53,54,본테라 에퀴녹스 레드,BONTERRA EQUINOX RED,Red,미국,"캘리포니아, 홉랜드, 멘도치노 카운티",본테라 / 콘차 이 토로,"쁘띠 쉬라 33%, 메를로 29%, 쉬라 16%, 진판델 14%, 카베르네 소비뇽 3%, 그외 5%",14.5,50000,3.7,3,0,4,4,https://www.winenara.com/goods/goods_view.php?goodsNo=1836,515,구매 예약
54,55,알파카 소비뇽 블랑,ALPACA SAUVIGNON BLANC,White,칠레,센트럴 밸리,VSPT,소비뇽 블랑(Sauvignon Blanc) 100%,12.0,15000,2.9,4,0,2,0,https://www.winenara.com/goods/goods_view.php?goodsNo=1644,361,구매 예약
55,56,당장 페이 브뤼,DANGIN FAYS BRUT,Champagne,프랑스,상파뉴(Champagne),당장 & 필스 (Dangin & Fils),"피노 누아 (Pinot Noir) 80%, 샤르도네 (Chardonnay) 10%, 피노 뫼니에 (Pinot Meunier) 10%",12.0,42000,3.7,3,0,3,0,https://www.winenara.com/goods/goods_view.php?goodsNo=1483,185,구매 예약
56,57,베이컨,BACON,Red,미국,"미국, 캘리포니아",Guarachi Wine Partners,"시라(SYRAH) 35% , 그르나슈(GRENACHE) 25% , 무르베드르(MOURVEDRE) 20% , 메를로(MERLO)T 10% , 쁘띠 시라(PETITE SIRAH) 10%",15.0,35000,3.8,3,0,5,3,https://www.winenara.com/goods/goods_view.php?goodsNo=2775,9,구매 예약
57,58,하디스 HRB 샤르도네,HARDYS HRB CHARDONNAY,White,호주,"호주, 남호주",하디스 (Hardys),샤르도네(CHARDONNAY) 100%,13.5,70000,3.8,4,0,4,0,https://www.winenara.com/goods/goods_view.php?goodsNo=2616,215,구매 예약
58,59,바독 피노누아,BAR DOG PINOT NOIR,Red,미국,캘리포니아,바 독,피노 누아,13.5,32000,3.6,3,0,3,0,https://www.winenara.com/goods/goods_view.php?goodsNo=1936,210,구매 예약
59,60,빌라 엠 로미오,VILLA M ROMEO,Red,이탈리아,베로나,IEI,"카베르네 소비뇽, 메를로",11.0,13500,2.5,1,3,1,0,https://www.winenara.com/goods/goods_view.php?goodsNo=1841,478,구매 예약
60,61,"마르케제 안티노리, 뀌베 로얄",MARCHESE ANTINORI CUVEE ROYALE,Sparkling,이탈리아,"이탈리아, 롬바르디아, 프란치아코르타 (Franciacorta)",안티노리 (Antinori) 몬테니자,"샤르도네 (Chardonnay) 78%, 피노 누아 (Pinot Noir) 12%, 피노 블랑 (Pinot Blanc) 10%",12.5,48000,3.8,3,1,2,0,https://www.winenara.com/goods/goods_view.php?goodsNo=1450,259,구매 불가
61,62,더 페데럴리스트 카베르네 소비뇽,THE FEDERALIST CABERNET SAUVIGNON LODI,Red,미국,"캘리포니아, 로다이",텔라토 패밀리 빈야드 (Terlato Family Vineyards),"까베르네 소비뇽 (Cabernet Sauvignon) 87%, 메를로 (Merlot) 6%, 까베르네 프랑 (Cabernet Franc) 4%, 쁘띠 시라 (Petit Syrah) 2%, 산지오베제 (Sangiovese) 1%",14.9,100000,3.8,3,1,3,3,https://www.winenara.com/goods/goods_view.php?goodsNo=1352,223,구매 불가
62,63,핀카 비야크레세스 프루노,FINCA VILLACRECES PRUNO,Red,스페인,,핀카 비야크레세스 (Finca Villacreces),,14.0,45000,4.0,3,0,4,3,https://www.winenara.com/goods/goods_view.php?goodsNo=1172,451,구매 불가
63,64,로스 인토카블레스 말벡,LOS INTOCABLES MALBEC,Red,아르헨티나,아르헨티나,핀카 라스 모라스 Finca Las Moras (Penaflor),말벡(MALBEC) 100%,14.0,21900,4.0,3,0,4,3,https://www.winenara.com/goods/goods_view.php?goodsNo=2850,329,구매 예약
64,65,라 크루와 뒤크뤼 보까이유 뀌베 꼴베,LA CROIX DUCRU BEAUCAILLOU CUVEE COLBERT,Red,프랑스,"프랑스, 보르도, St-Julien",샤또 뒤크뤼 보까이유,"카베르네 소비뇽(CABERNET SAUVIGNON) 60%, 메를로(MERLOT) 35%, 쁘띠 베르도(PETIT VERDOT) 5%",13.5,150000,4.2,3,0,4,4,https://www.winenara.com/goods/goods_view.php?goodsNo=2760,51,구매 불가
65,66,유 원 프리미티보 디 만두리아,U-ONE PRIMITIVO DI MANDURIA,Red,이탈리아,"풀리아, 만두리아",쉥크,프리미티보 100%,14.5,29000,4.2,3,0,4,3,https://www.winenara.com/goods/goods_view.php?goodsNo=1870,599,구매 불가
66,67,트루아젤 모스카토,TROISL MOSCATO,White,이탈리아,피에몬테,산테로,모스카토,5.0,9900,3.4,1,4,2,0,https://www.winenara.com/goods/goods_view.php?goodsNo=1846,441,구매 예약
67,68,젠틀맨즈 컬렉션 카베르네 소비뇽,GENTLEMAN'S COLLECTION CABERNET SAUVIGNON,Red,호주,"호주, 동남부 지역 (South Eastern Australia)",린드만 (Lindeman’s),까베르네 소비뇽 (Cabernet Sauvignon),14.5,40000,3.9,3,0,3,3,https://www.winenara.com/goods/goods_view.php?goodsNo=1419,93,구매 예약
68,69,스타즈 콜라이드 소비뇽블랑,STARS COLLIDE SAUVIGNON BLANC,White,뉴질랜드,-,하하 와인즈 HAHA WINES,소비뇽 블랑(SAUVIGNON BLANC)100%,12.5,17900,3.9,3,0,2,0,https://www.winenara.com/goods/goods_view.php?goodsNo=2970,400,구매 예약
69,70,쇼 앤 스미스 엠쓰리 샤르도네,SHAW AND SMITH M3 CHARDONNAY,White,호주,"호주, 남호주, 애들레이드 힐",SHAW AND SMITH,샤르도네(CHARDONNAY) 100%,13.0,59000,4.0,3,0,4,0,https://www.winenara.com/goods/goods_view.php?goodsNo=2748,58,구매 예약
70,71,산 텔모 리저브 샤르도네,SAN TELMO RESERVE CHARDONNAY,White,아르헨티나,"아르헨티나, 멘도사",산 텔모 (San Telmo),샤르도네(CHARDONNAY) 100%,13.9,17900,3.7,3,1,4,0,https://www.winenara.com/goods/goods_view.php?goodsNo=2624,331,구매 예약
71,72,산 필리포 로소 디 몬탈치노 로 스코르노,SAN FILIPPO ROSSO DI MONTALCINO LO SCORNO,Red,이탈리아,몬탈치노,산 필리포,산지오베제 100%,14.5,45000,3.8,3,0,3,3,https://www.winenara.com/goods/goods_view.php?goodsNo=2048,229,구매 예약
72,73,산타 아나 클래식 말벡,SANTA ANA CLASSIC MALBEC,Red,아르헨티나,멘도자 (Mendoza),보데가 산타 아나,말벡 100%,13.0,12900,3.2,3,1,3,2,https://www.winenara.com/goods/goods_view.php?goodsNo=1843,464,구매 예약
73,74,샤또 비뇨 생테밀리옹 그랑 크뤼,CHATEAU VIGNOT SAINT EMILION GRAND CRU,Red,프랑스,"보르도, 생테밀리옹",잭슨 패밀리 와인즈,"메를로 70%, 카베르네 프랑 30%",13.0,150000,4.0,3,0,3,3,https://www.winenara.com/goods/goods_view.php?goodsNo=1722,506,구매 예약
74,75,셀리에 데 프린스 꼬뜨 뒤 론 그랑 리저브,CELLIER DES PRINCES CDR GRAND RESERVE,Red,프랑스,"남부론, 꼬뜨 뒤 론",셀리에 데 프린스 (Cellier des Princes),"GSM (그르나슈 80%, 시라 15%, 무르베드르 5%)",14.0,39000,3.8,3,0,2,4,https://www.winenara.com/goods/goods_view.php?goodsNo=1559,496,구매 예약
75,76,피에르 뤼통 레드,PIERRE LURTON BORDEAUX RED,Red,프랑스,보르도,피에르 뤼통(Pierre Lurton),"메를로 (Merlot) 50%, 까베르네 프랑 (Caberent Franc) 30%, 까베르네 소비뇽 (Caberent Sauvignon) 20%",14.5,45000,3.7,3,1,3,4,https://www.winenara.com/goods/goods_view.php?goodsNo=1534,91,구매 예약
76,77,닥터 린드만 빈90 모스카토,LINDEMAN'S BIN 90 MOSCATO,White,호주,뉴 사우스 웨일즈 & 빅토리아,린드만 (Lindeman’s),머스캣/고르도 (Muscat/Gordo),8.0,20000,3.9,1,4,2,0,https://www.winenara.com/goods/goods_view.php?goodsNo=1381,589,구매 예약
77,78,맥스 리제르바 시라,MAX RESERVA SYRAH,Red,칠레,아콩카구아 밸리,비냐 에라주리즈,시라(Syrah) 100%,14.0,35000,3.7,3,1,4,4,https://www.winenara.com/goods/goods_view.php?goodsNo=770,176,구매 예약
78,79,리지니 브루넬로 디 몬탈치노,LISINI BRUNELLO DI MONTALCINO,Red,이탈리아,"이태리, 토스카나",AZIENDA LISINI,산지오베제 (Sangiovese) 100%,14.5,180000,4.3,5,1,4,4,https://www.winenara.com/goods/goods_view.php?goodsNo=2657,12,구매 예약
79,80,리치텔리 더 파티 말벡,RICCITELLI THE PARTY MALBEC,Red,아르헨티나,Mendoza / Uco Valley,리치텔리 (Matías Riccitelli),말벡 (Malbec) 100%,14.0,35000,4.1,2,1,4,2,https://www.winenara.com/goods/goods_view.php?goodsNo=2578,339,구매 불가
80,81,에이 투 지 오레곤 에센스 피노누아,A TO Z OREGON ESSENCE PINOT NOIR,Red,미국,오레곤,에이 투 지 와인웍스,피노누아 100%,14.0,65000,3.8,4,0,3,2,https://www.winenara.com/goods/goods_view.php?goodsNo=2563,160,구매 예약
81,82,크루즈 토니 포트,CRUZ TAWNY PORT,Red,기타 구대륙,두리엔세 (Duriense) / 포르토 (Porto),포르토 크루즈 (Porto Cruz),"또우리가 나시오날(Touriga Nacional), 또우리가 프랑카(Touriga Franca), 띤따 바호카(Tinta Barroca)",19.0,30000,3.7,1,4,4,0,https://www.winenara.com/goods/goods_view.php?goodsNo=2540,255,구매 예약
82,83,돈 루치아노 브뤼,DON LUCIANNO BRUT,Sparkling,스페인,스페인,제이 가르시아 까리용,"마카베오, 아이린",11.0,7500,3.2,3,1,2,0,https://www.winenara.com/goods/goods_view.php?goodsNo=1804,434,구매 예약
83,84,돈 루치아노 모스카토,DON LUCIANO MOSCATO,Sparkling,스페인,스페인,제이 가르시아 까리용,모스카토 100%,7.0,7500,3.2,1,5,2,0,https://www.winenara.com/goods/goods_view.php?goodsNo=1803,440,구매 불가
84,85,보리우 빈야드(BV) 캘리포니아 카베르네 소비뇽,BV CALIFORNIA CABERNET SAUVIGNON,Red,미국,"미국, 캘리포니아",보리우 빈야드 (Beaulieu Vineyard),까베르네 소비뇽,13.6,35000,3.7,3,0,3,3,https://www.winenara.com/goods/goods_view.php?goodsNo=1427,616,구매 예약
85,86,트림바크 리슬링,TRIMBACH RIESLING,White,프랑스,알자스,트림바크,리슬링(Riesling) 100%,13.0,34900,3.7,3,1,3,1,https://www.winenara.com/goods/goods_view.php?goodsNo=740,366,구매 예약
