,이름,영문이름,종류,나라,생산지,제조사,포도품종,주포도품종,알코올도수,가격,평점,산도,당도,바디감,탄닌,주소
0,푸나무 소비뇽블랑,POUNAMU SAUVIGNON BLANC,White,뉴질랜드,말보로,리틀뷰티 (Little Beauty),소비뇽블랑 (Sauvignon Blanc) 100%,소비뇽블랑 (Sauvignon Blanc) 100%,13,32000,4.0,4,0,2,0,https://www.winenara.com/goods/goods_view.php?goodsNo=1521
1,시모네 페브르 크레망 드 부르고뉴 브뤼,SIMONNET FEBVRE CREMANT DE BOURGOGNE BRUT,Sparkling,프랑스,부르고뉴,시모네 페브르,"샤르도네(Chardonnay) 60%, 피노 누아(Pinot Noir) 40%","샤르도네(Chardonnay) 60%, 피노 누아(Pinot Noir) 40%",12.5,32000,3.7,3,1,2,0,https://www.winenara.com/goods/goods_view.php?goodsNo=1309
2,아발론 카베르네소비뇽,AVALON CALIFORNIA,Red,미국,캘리포니아,아발론 와이너리,"까베르네 소비뇽 (Cabernet Sauvignon) 76%, 시라 (Syrah) 13%,진판델 (Zinfandel) 7%, 메를로 (Merlot) 4%","까베르네 소비뇽 (Cabernet Sauvignon) 76%, 시라 (Syrah) 13%,진판델 (Zinfandel) 7%, 메를로 (Merlot) 4%",13.8,24900,3.5,3,1,3,3,https://www.winenara.com/goods/goods_view.php?goodsNo=617
3,더 프리즈너,The Prisoner,Red,미국,나파 밸리,더 프리즈너 와인 컴퍼니,"진판델 (Zinfandel) 44%, 까베르네 소비뇽 (Cabernet Sauvignon) 20%, 쁘띠 시라 (Petite Syrah) 16%, 샤르보노 (Charbono) 2%","진판델 (Zinfandel) 44%, 까베르네 소비뇽 (Cabernet Sauvignon) 20%, 쁘띠 시라 (Petite Syrah) 16%, 샤르보노 (Charbono) 2%",13.9,120000,4.4,4,1,4,4,https://www.winenara.com/goods/goods_view.php?goodsNo=1929
4,이자디 엘 레갈로,IZADI EL REGALO,Red,스페인,리오하,보데가스 이자디 (Bodegas Izadi),"템프라니요 (Tempranillo) 90%, 가르나차 (Garnacha), 그라시아노 (Graciano), 마주엘로 (Mazuelo) 10%","템프라니요 (Tempranillo) 90%, 가르나차 (Garnacha), 그라시아노 (Graciano), 마주엘로 (Mazuelo) 10%",14.1,77000,4.0,3,0,4,3,https://www.winenara.com/goods/goods_view.php?goodsNo=1357
5,파이퍼 하이직 뀌베 브뤼,PIPER HEIDSIECK CUVEE BRUT,Champagne,프랑스,샴페인,파이퍼 하이직,"피노 누아 (Pinot Noir), 피노 므니에 (Pinot Meunier)","피노 누아 (Pinot Noir), 피노 므니에 (Pinot Meunier)",12,75000,4.0,3,1,3,0,https://www.winenara.com/goods/goods_view.php?goodsNo=1145
6,빌라 안티노리 키안티 클라시코 리제르바,VILLA ANTINORI CHIANTI CLASSICO RISERVA,Red,이탈리아,"토스카나, 키안티 클라시코",안티노리,"산지오베제 90%, 카베르네 소비뇽 10%","산지오베제 90%, 카베르네 소비뇽 10%",14,39000,4.0,3,0,3,4,https://www.winenara.com/goods/goods_view.php?goodsNo=1240
7,톨퍼들 빈야드 샤르도네,TOLPUDDLE VINEYARD CHARDONNAY,White,호주,"호주, 타스매니아",SHAW AND SMITH,샤르도네(CHARDONNAY) 100%,샤르도네(CHARDONNAY) 100%,12.5,100000,4.2,3,0,4,0,https://www.winenara.com/goods/goods_view.php?goodsNo=2752
8,프루노토 모스카토 다스티,PRUNOTTO MOSCATO D'ASTI,Sparkling,이탈리아,"피에몬테, 아스티","프루노토, 안티노리",까넬리 모스카토 비앙코(Canelli Moscato Bianco) 100%,까넬리 모스카토 비앙코(Canelli Moscato Bianco) 100%,5,25000,4.0,1,5,2,0,https://www.winenara.com/goods/goods_view.php?goodsNo=985
9,게르겐티 일 베로 시칠리아노,GERGENTI IL VERO SICILIANO,Red,이탈리아,시칠리아,쉥크 이탈리아,"네로다볼라, 네넬로 마스칼레제, 프라파토","네로다볼라, 네넬로 마스칼레제, 프라파토",15,29000,4.0,3,1,4,3,https://www.winenara.com/goods/goods_view.php?goodsNo=1798
