,이름,영문이름,종류,나라,생산지,제조사,포도품종,주포도품종,알코올도수,가격,평점,산도,당도,바디감,탄닌,주소
156,아콩카구아 알토 까르메네르,ACONCAGUA ALTO CARMENERE,Red,칠레,아콩카구아 밸리,비냐 에라주리즈 (Vina Errazuriz),까르메네르 (Carmenere) 100%,까르메네르 (Carmenere) 100%,14,52000,4.0,3,0,4,4,https://www.winenara.com/goods/goods_view.php?goodsNo=1510
157,토마레스카 보카 디 루포,BOCCA DI LUPO,Red,이탈리아,"풀리아, 카스텔 델 몬테(Castel del Monte)",토마레스카 (Tormaresca) / 안티노리 (Antinori),알리아니코 (Aglianico) 100%,알리아니코 (Aglianico) 100%,14,150000,4.1,3,1,4,5,https://www.winenara.com/goods/goods_view.php?goodsNo=1485
158,펫저 메를로,FETZER MERLOT,Red,미국,캘리포니아,펫져 (Fetzer),메를로 100%,메를로 100%,13.7,40000,3.4,3,1,3,2,https://www.winenara.com/goods/goods_view.php?goodsNo=1478
159,디아블로 소비뇽 블랑,DIABLO SAUVIGNON BLANC,White,칠레,"카사블랑카,리마리,라펠 밸리",콘차 이 토로,소비뇽 블랑 (Sauvignon Blanc) 100%,소비뇽 블랑 (Sauvignon Blanc) 100%,12.5,12900,3.4,3,0,2,0,https://www.winenara.com/goods/goods_view.php?goodsNo=1043
160,샤또 보네 화이트,CHATEAU BONNET WHITE,White,프랑스,"보르도, 앙트르 드 메르",앙드레 뤼통,"소비뇽 블랑(Sauvignon Blanc) 50%, 세미용(Semillon) 40%, 뮈스까델(Muscadelle) 10%","소비뇽 블랑(Sauvignon Blanc) 50%, 세미용(Semillon) 40%, 뮈스까델(Muscadelle) 10%",12,38000,3.5,2,0,2,0,https://www.winenara.com/goods/goods_view.php?goodsNo=1009
161,베커스 그르나슈,BEKKERS GRENACHE,Red,호주,맥라렌 베일,베커스(BEKKERS),그르나슈 (GRENACHE) 100%,그르나슈,14.5,120000,4.5,3,0,4,4,https://www.winenara.com/goods/goods_view.php?goodsNo=2810
162,스피릿 오브 스시,SPIRIT OF SUSHI,White,프랑스,프랑스,,"소비뇽 블랑(SAUVIGNON BLANC), 뮈스카델(MUSCADELLE), 세미옹(SEMILLION)","소비뇽 블랑(SAUVIGNON BLANC), 뮈스카델(MUSCADELLE), 세미옹(SEMILLION)",12.5,35000,3.6,3,0,2,0,https://www.winenara.com/goods/goods_view.php?goodsNo=2785
163,마틴 레이 소노마 코스트 피노누아,MARTIN RAY SONOMA COAST PINOT NOIR,Red,미국,"미국,캘리포니아,소노마",MARTIN RAY and ANGELINE WINERY,피노누아(PINOT NOIR) 100%,피노누아(PINOT NOIR) 100%,14.1,42000,3.8,3,0,3,2,https://www.winenara.com/goods/goods_view.php?goodsNo=2744
164,닥터루젠 그라쳐 힘멜라이히 리슬링 드라이 '알테레벤' GG,"DR. LOOSEN GRAACHER HIMMERLREICH RIESLING GG ""ALTE REBEN"" DRY",White,독일,"독일, 모젤",WEINGUT DR. LOOSEN,리슬링 (RIESLING) 100%,리슬링 (RIESLING) 100%,12.5,66000,4.1,4,1,4,0,https://www.winenara.com/goods/goods_view.php?goodsNo=2609
165,에이 투 지 오레곤 버블스 로제,A TO Z OREGON BUBBLES ROSE,Sparkling,미국,오레곤,에이 투 지 와인웍스,"피노 누아(PINOT NOIR) 90%, 샤르도네(CHARDONNAY) 10%","피노 누아(PINOT NOIR) 90%, 샤르도네(CHARDONNAY) 10%",12.5,35000,3.8,3,1,3,0,https://www.winenara.com/goods/goods_view.php?goodsNo=2561
166,캔달 잭슨 빈트너스 리저브 샤르도네,KENDALL JACKSON VINTNER'S RESERVE CHARDONNAY,White,미국,캘리포니아,잭슨 패밀리 와인,샤르도네 (Chardonnay) 100%,샤르도네 (Chardonnay) 100%,13.5,45000,3.9,3,0,3,0,https://www.winenara.com/goods/goods_view.php?goodsNo=2542
167,하디스 스탬프 카베르네 메를로,HARDYS STAMP CABERNET MERLOT,Red,호주,호주 (South Eastern Australia),하디스 (Hardys),카베르네 소비뇽 (Cabernet Sauvignon) & 메를로 (Merlot),카베르네 소비뇽 (Cabernet Sauvignon) & 메를로 (Merlot),11.5,14900,3.5,3,0,4,3,https://www.winenara.com/goods/goods_view.php?goodsNo=2057
168,폴 당장 뀌베 카르트 블랑쉬,PAUL DANGIN CUVEE CARTE BLANCHE,Champagne,프랑스,상파뉴(Champagne),당장 & 필스 (Dangin & Fils),샤르도네 (Chardonnay) 100%,샤르도네 (Chardonnay) 100%,12,70000,3.8,3,1,3,0,https://www.winenara.com/goods/goods_view.php?goodsNo=1952
169,피안 델레 비네 로쏘 디 몬탈치노,PIAN DELLE VIGNE ROSSO DE MONTALCINO,Red,이탈리아,"토스카나, 몬탈치노",안티노리,산지오베제 100%,산지오베제 100%,14,70000,3.9,3,1,3,3,https://www.winenara.com/goods/goods_view.php?goodsNo=1893
170,샤또 벨뷰 피작,CHATEAU BELLEVUE FIGEAC,Red,프랑스,쌩떼밀리옹,율리스 카자본,"메를로 85%, 카베르네 프랑 10%, 카베르네 소비뇽 5%","메를로 85%, 카베르네 프랑 10%, 카베르네 소비뇽 5%",13,55000,3.8,3,1,3,3,https://www.winenara.com/goods/goods_view.php?goodsNo=1847
171,락베어 맥라렌 쉬라즈,ROCKBARE MCLAREN SHIRAZ,Red,호주,"남호주, 맥라렌 베일",잭슨 패밀리 와인즈,쉬라즈 100%,쉬라즈 100%,14.5,70000,3.9,4,0,4,4,https://www.winenara.com/goods/goods_view.php?goodsNo=1767
172,아콩카구아 코스타 피노누아,ACONCAGUA COSTA PINOT NOIR,Red,칠레,아콩카구아 코스타,비냐 에라주리즈 (Vina Errazuriz),피노누아 100%,피노누아 100%,13,70000,3.7,3,1,3,3,https://www.winenara.com/goods/goods_view.php?goodsNo=1648
173,시가 박스 카베르네 소비뇽,CIGAR BOX CABERNET SAUVIGNON,Red,칠레,마이포 밸리,시가 박스 와인 (Cigar Box Wine),카베르네소비뇽(Cabernet Sauvignon) 100%,카베르네소비뇽(Cabernet Sauvignon) 100%,13.5,25000,3.5,3,0,3,3,https://www.winenara.com/goods/goods_view.php?goodsNo=1591
174,마르쿠스 몰리터 알테 레벤 자르 리슬링(화이트),Markus Molitor Alte Reben Saar,White,독일,모젤,마르쿠스 몰리터 (Markus Molitor),리슬링 (Riesling) 100%,리슬링 (Riesling) 100%,12,65000,4.0,3,1,3,0,https://www.winenara.com/goods/goods_view.php?goodsNo=1486
175,블랙타워 스파클링 아이스 로제,BLACK TOWER ICE ROSE,Rose,독일,유럽 커뮤니티 (European Community),레 켄더만 바인켈러라이(Reh Kendermann Weinkellerei),템프라니요 100%,템프라니요 100%,11,19900,3.4,3,3,2,0,https://www.winenara.com/goods/goods_view.php?goodsNo=1484
176,마르케제 안티노리 콘테사 마지,MARCHESE ANTINORI CONTESSA MAGGI,Sparkling,이탈리아,프란치아코르타 (Franciacorta),안티노리 (Antinori),"샤르도네 (Chardonnay) 75%, 피노 누아 (Pinot Noir) 25%","샤르도네 (Chardonnay) 75%, 피노 누아 (Pinot Noir) 25%",12.5,84000,4.2,3,0,3,0,https://www.winenara.com/goods/goods_view.php?goodsNo=1456
177,샤또 꾸엥스-뤼통 레드,CHATEAU COUHINS LURTON RED,Red,프랑스,"프랑스, 보르도, 뻬삭 레오냥",앙드레 뤼통 (Andre Lurton),"메를로(Merlot) 75%, 까베르네 소비뇽(Cabernet Sauvignon) 25%","메를로(Merlot) 75%, 까베르네 소비뇽(Cabernet Sauvignon) 25%",12.5,120000,4.0,3,0,3,4,https://www.winenara.com/goods/goods_view.php?goodsNo=1433
178,블랙타워 클래식 리슬링,BLACK TOWER CLASSIC RIESLING,White,독일,"독일, 팔츠 (Pfalz)",레이 켄더만 바인켈러하이(Reh Kendermann Weinkellerei),리슬링 (Riesling) 100%,리슬링 (Riesling) 100%,12,12900,3.3,3,1,2,2,https://www.winenara.com/goods/goods_view.php?goodsNo=1432
179,블랙타워 돈펠더 피노누아,BLACK TOWER DORNFELDER PINOT NOIR,Red,독일,"독일, 팔라티네이트(Palatinate)",레이 켄더만 바인켈러하이(Reh Kendermann Weinkellerei),피노 누아 (Pinot Noir) 100%,피노 누아 (Pinot Noir) 100%,5.5,14900,3.3,3,1,2,3,https://www.winenara.com/goods/goods_view.php?goodsNo=1431
180,글로리오소 리오하 레세르바,GLORIOSO RIOJA RESERVA,Red,스페인,리오하,보데가스 팔라치오,템프라니요(Tempranillo) 100%,템프라니요(Tempranillo) 100%,14,33000,3.8,3,0,3,3,https://www.winenara.com/goods/goods_view.php?goodsNo=1184
181,에라주리즈 에스테이트 카르메네르,ERRAZURIZ ESTATE CARMENERE,Red,칠레,라펠 밸리,비냐 에라주리즈,까르메네르 (Carmenere) 100%,까르메네르 (Carmenere) 100%,13.5,17900,3.7,3,0,3,2,https://www.winenara.com/goods/goods_view.php?goodsNo=1033
182,맥스 리제르바 카르메네르,MAX RESERVA CARMENERE,Red,칠레,아콩카구아 밸리,비냐 에라주리즈,까르메네르 (Carmenere) 100%,까르메네르 (Carmenere) 100%,14,35000,3.8,3,1,4,3,https://www.winenara.com/goods/goods_view.php?goodsNo=1031
183,아방트 샤르도네,AVANT CHARDONNAY,White,미국,캘리포니아,잭슨 패밀리 와인,샤르도네(Chardonnay) 100%,샤르도네(Chardonnay) 100%,13.5,35000,3.7,3,0,2,0,https://www.winenara.com/goods/goods_view.php?goodsNo=831
184,샤또 라 루비에르 레드,CHATEAU LA LOUVIERE RED,Red,프랑스,"보르도, 빼삭 레오냥",앙드레 뤼통,"까베르네 소비뇽(Cabernet Sauvignon) 64%, 메를로(Merlot) 30%, 까베르네 프랑(Cabernet Franc) 3%, 쁘띠 베르도(Petit Verdot) 3%","까베르네 소비뇽(Cabernet Sauvignon) 64%, 메를로(Merlot) 30%, 까베르네 프랑(Cabernet Franc) 3%, 쁘띠 베르도(Petit Verdot) 3%",12.5,150000,3.9,3,0,4,4,https://www.winenara.com/goods/goods_view.php?goodsNo=753
185,도멘 드 마르꾸 샤또 네프 뒤 빠쁘,DOMAINE DE MARCOUX CHATEAUNEUF DU PAPE,Red,프랑스,"꼬뜨 뒤 론, 남부 론, 샤또네프 뒤 파프",도멘 드 마르꾸,"그르나슈 (Grenache) 74%, 무르베드르 (Mourvedre) 14%, 시라 (Syrah) 9%,쌩소 (Cinsault) 3%",그르나슈,15,180000,4.2,4,0,4,4,https://www.winenara.com/goods/goods_view.php?goodsNo=747
186,체르바로 2019,CERVARO,White,이탈리아,"움브리아,오르비에토",안티노리,"샤르도네 (Chardonnay) 85%, 그레케토 (Grechetto) 15%","샤르도네 (Chardonnay) 85%, 그레케토 (Grechetto) 15%",13,180000,4.4,4,0,4,0,https://www.winenara.com/goods/goods_view.php?goodsNo=581
187,루이 라뚜르 알록스 꼬똥,LOUIS LATOUR ALOXE CORTON,Red,프랑스,"부르고뉴, 꼬뜨 드 본, 알록스 꼬똥",루이 라뚜르,피노누아(Pinot Noir) 100%,피노누아(Pinot Noir) 100%,13.5,150000,4.1,3,0,4,3,https://www.winenara.com/goods/goods_view.php?goodsNo=531
188,루이 부요 크레망 드 부르고뉴 로제,LOUIS BOUILLOT CREMANT DE BOURGOGNE ROSE,Rose,프랑스,"프랑스,부르고뉴",루이 부요(Louis Bouillot),"샤르도네(CHARDONNAY),가메(GAMAY), 피노 누아(PINOT NOIR)","샤르도네(CHARDONNAY),가메(GAMAY), 피노 누아(PINOT NOIR)",12.5,39000,3.8,3,0,2,0,https://www.winenara.com/goods/goods_view.php?goodsNo=2780
189,폴 당장 트레디시옹 밀레짐 2014,PAUL DANGIN TRADITION MILLESIME 2014,Champagne,프랑스,상파뉴,SARL DANGIN,"피노 누아(PINOT NOIR), 샤르도네(CHARDONNAY)","피노 누아(PINOT NOIR), 샤르도네(CHARDONNAY)",12,80000,3.9,3,0,3,0,https://www.winenara.com/goods/goods_view.php?goodsNo=2728
190,[하프와인] 알파카 카베르네 메를로,ALPACA CABERNET MERLOT,Red,칠레,센트럴 밸리,VSPT,"카베르네 소비뇽(Cabernet Sauvignon) 70%, 메를로(Merlot) 30%","카베르네 소비뇽(Cabernet Sauvignon) 70%, 메를로(Merlot) 30%",13,08900,2.8,3,0,2,3,https://www.winenara.com/goods/goods_view.php?goodsNo=2706
191,퍼스트 드랍 더 크림 쉬라즈,FIRST DROP THE CREAM SHIRAZ,Red,호주,바로사밸리,FIRST DROP WINES,쉬라즈(SHIRAZ) 100%,쉬라즈(SHIRAZ) 100%,13,280000,4.3,3,0,4,4,https://www.winenara.com/goods/goods_view.php?goodsNo=2694
192,커치 팔스타프 빈야드 소노마 코스트 피노누아,KUTCH FALSTAFF VINEYARD SONOMA COAST PINOT NOIR,Red,미국,"미국,캘리포니아,소노마",Kutch Wines,피노누아 (PINOT NOIR) 100%,피노누아 (PINOT NOIR) 100%,12.5,130000,4.1,4,1,3,3,https://www.winenara.com/goods/goods_view.php?goodsNo=2664
193,닥터루젠 리슬링,DR. LOOSEN RIESLING,White,독일,"독일, 모젤",WEINGUT DR. LOOSEN,리슬링 (RIESLING) 100%,리슬링 (RIESLING) 100%,8.5,18000,3.9,4,2,3,0,https://www.winenara.com/goods/goods_view.php?goodsNo=2654
194,마푸 소비뇽 샤르도네,MAPU SAUVIGNON CHARDONNAY,White,칠레,"칠레, 마울레 밸리",바롱 필립 드 로칠드 칠레,"소비뇽 블랑(SAUVIGNON BLANC) 80% , 샤르도네(CHARDONNAY) 20%","소비뇽 블랑(SAUVIGNON BLANC) 80% , 샤르도네(CHARDONNAY) 20%",13,19000,3.3,3,1,3,0,https://www.winenara.com/goods/goods_view.php?goodsNo=2634
195,리아논 레드 블렌드,Rhiannon Red Blend,Red,미국,"캘리포니아, 로다이",러더포드 와인 컴퍼니,"쁘띠 쉬라 57%, 쉬라 37%, 바르베라 3%","쁘띠 쉬라 57%, 쉬라 37%, 바르베라 3%",13.5,50000,3.9,4,2,4,3,https://www.winenara.com/goods/goods_view.php?goodsNo=2583
196,제나토 소아베 클라시코,ZENATO SOAVE CLASSICO DOC,White,이탈리아,베네토,제나토,"가르가네가 70%, 샤르도네 30%","가르가네가 70%, 샤르도네 30%",13.5,22000,3.5,4,0,1,0,https://www.winenara.com/goods/goods_view.php?goodsNo=2047
197,[미니와인] 브리 로제 피노 누아,BREE ROSE PINOT NOIR,Rose,독일,독일,피너 메르테스,피노 누아 100%,피노 누아 100%,11,07000,3.7,3,3,2,0,https://www.winenara.com/goods/goods_view.php?goodsNo=2018
198,[미니와인] 브리 화이트 샤르도네,BREE WHITE CHARDONNAY,White,독일,독일,피터 메르테스,샤르도네 100%,샤르도네 100%,12,07000,3.4,3,2,3,0,https://www.winenara.com/goods/goods_view.php?goodsNo=2017
199,하트포드 코트 랜즈 엣지 피노누아,HARTFORD COURT LANDS EDGE PINOT NOIR,Red,미국,"캘리포니아, 소노마, 러시안 리버 밸리",하트포드 패밀리 와이너리,피노 누아 100%,피노 누아 100%,14.9,150000,4.3,3,0,3,2,https://www.winenara.com/goods/goods_view.php?goodsNo=1894
200,산타 크리스티나 키안티 수페리오레,SANTA CRISTINA CHIANTI SUPERIORE,Red,이탈리아,토스카나,산타 크리스티나 / 안티노리,산지오베제 외 토착품종 블렌딩,산지오베제 외 토착품종 블렌딩,13,32000,3.7,3,0,3,3,https://www.winenara.com/goods/goods_view.php?goodsNo=1844
201,락베어 바로사밸리 쉬라즈,ROCKBARE BAROSSA VALLEY SHIRAZ,Red,호주,"남호주, 바로사밸리",잭슨 패밀리 와인즈,쉬라즈 100%,쉬라즈 100%,14.5,99000,4.3,4,0,3,3,https://www.winenara.com/goods/goods_view.php?goodsNo=1810
202,락베어 클레어 밸리 리슬링,ROCKBARE CLAREVALLEY RIESLING,White,호주,"남호주, 클레어밸리",잭슨 패밀리 와인즈,리슬링 100%,리슬링 100%,12.5,36000,3.8,4,1,3,0,https://www.winenara.com/goods/goods_view.php?goodsNo=1771
203,라 샤펠 고르돈느 로제,LA CHAPELLE GORDONNE ROSE,Rose,프랑스,프로방스,샤또 라 고르돈느 (Chateau La Gordonne),"그르나슈 (Grenache), Syrah (쉬라), Cinsault (쌩소)",그르나슈,13.5,55000,4.0,3,0,2,0,https://www.winenara.com/goods/goods_view.php?goodsNo=1550
204,쿠네 리오하 그란 레세르바,CUNE RIOJA GRAN RESERVA,Red,스페인,리오하 알타,쿠네 (CVNE),"템프라니요 (Tempranillo) 85%, 그라시아노 (Graciano) 10%, 마주엘로 (Mazuelo)15%","템프라니요 (Tempranillo) 85%, 그라시아노 (Graciano) 10%, 마주엘로 (Mazuelo)15%",13.5,80000,4.0,4,1,4,3,https://www.winenara.com/goods/goods_view.php?goodsNo=1513
205,본테라 메를로,BONTERRA MERLOT,Red,미국,"캘리포니아, 멘도치노 카운티",펫져 (Fetzer) /소유주 : 칠레 콘차 이 토로 (Concha y Toro),"메를로, 그르나슈, 시라, 말벡","메를로, 그르나슈, 시라, 말벡",14.6,50000,3.7,3,1,3,2,https://www.winenara.com/goods/goods_view.php?goodsNo=1496
206,파이퍼 하이직 로제 소바쥬,PIPER HEIDSIECK ROSE SAUVAGE BRUT,Champagne,프랑스,샴페인,파이퍼 하이직,"피노 누아 (Pinot Noir), 피노 므니에 (Pinot Meunier)","피노 누아 (Pinot Noir), 피노 므니에 (Pinot Meunier)",12,95000,3.9,3,0,3,0,https://www.winenara.com/goods/goods_view.php?goodsNo=1146
207,레 로까이,LES ROCAILLES,Red,프랑스,보르도,앙드레 뤼통,"까베르네 소비뇽(Cabernet Sauvignon) 50%, 메를로(Merlot) 50%","까베르네 소비뇽(Cabernet Sauvignon) 50%, 메를로(Merlot) 50%",12.5,13000,3.2,3,1,2,3,https://www.winenara.com/goods/goods_view.php?goodsNo=1099
208,루이 라뚜르 제브리 샹베르땡,LOUIS LATOUR GEVREY CHAMBERTIN,Red,프랑스,"부르고뉴, 꼬뜨 드 뉘-제브리 샹베르땡",루이 라뚜르,피노 누아 (Pinot Noir) 100%,피노 누아 (Pinot Noir) 100%,13,190000,4.0,3,0,4,3,https://www.winenara.com/goods/goods_view.php?goodsNo=1022
209,산타 크리스티나 피노 그리지오,SANTA CRISTINA PINOT GRIGIO,White,이탈리아,프리울리 베네치아 쥴리아 & 베네토,"산타 크리스티나, 안티노리",피노 그리지오(Pinot Grigio) 100%,피노 그리지오(Pinot Grigio) 100%,11.5,22000,3.6,3,0,3,0,https://www.winenara.com/goods/goods_view.php?goodsNo=837
210,캔달 잭슨 그랑 리저브 샤르도네,KENDALL JACKSON GRAND RESERVE CHARDONNAY,White,미국,"캘리포니아, 산타바바라 카운티, 몬테레이 카운티",잭슨 패밀리 와인,샤르도네 (Chardonnay) 100%,샤르도네 (Chardonnay) 100%,13.5,80000,3.8,4,0,3,0,https://www.winenara.com/goods/goods_view.php?goodsNo=834
211,아콩카구아 코스타 시라,ACONCAGUA COSTA SYRAH,Red,칠레,아콩카구아 코스타,비냐 에라주리즈,시라(Syrah) 100%,시라(Syrah) 100%,13.5,70000,3.9,3,0,4,4,https://www.winenara.com/goods/goods_view.php?goodsNo=539
212,베라짜노 키안티 클라시코,VERRAZZANO CHIANTI CLASSICO,Red,이탈리아,토스카나-키안티 클라시코,카스텔로 디 베라짜노,"산지오베제,까나이올로","산지오베제,까나이올로",14.5,48000,3.8,4,1,3,3,https://www.winenara.com/goods/goods_view.php?goodsNo=528
213,프루노토 랑게 아르네이스,PRUNOTTO LANGHE ARNEIS,White,이탈리아,피에몬테,"프루노토, 안티노리",아르네이스(ARNEIS) 100%,아르네이스(ARNEIS) 100%,13,30000,3.7,3,0,2,0,https://www.winenara.com/goods/goods_view.php?goodsNo=2871
214,알파박스 앤 다이스 타로 프로세코,ALPHA BOX AND DICE TAROT PROSECCO,Sparkling,호주,맥라렌 베일,알파 박스 & 다이스,프로세코(PROSECCO) 100%,프로세코(PROSECCO) 100%,11,25000,3.9,3,0,3,0,https://www.winenara.com/goods/goods_view.php?goodsNo=2807
215,[미니와인] 클림트 키스 뀌베 브뤼,KLIMT KISS CUVEE BRUT,Sparkling,기타 구대륙,오스트리아 (Austria),슐럼베르거 ( Schlumberger ),"웰치리슬링(Welschriesling), 피노블랑( Pinot blanc),샤르도네(Chardonnay)","웰치리슬링(Welschriesling), 피노블랑( Pinot blanc),샤르도네(Chardonnay)",11.5,12000,3.6,3,0,2,0,https://www.winenara.com/goods/goods_view.php?goodsNo=2790
216,라 마스코타 스파클링 로제 엑스트라 브뤼,LA MASCOTA SPARKLING ROSE EXTRA BRUT,Sparkling,아르헨티나,-,Penaflor,피노누아(PINOT NOIR) 100%,피노누아(PINOT NOIR) 100%,12,27000,3.8,3,0,3,0,https://www.winenara.com/goods/goods_view.php?goodsNo=2732
217,리지니 브루넬로 디 몬탈치노 리제르바,LISINI BRUNELLO DI MONTALCINO RISERVA,Red,이탈리아,"이태리, 토스카나",AZIENDA LISINI,산지오베제 (Sangiovese) 100%,산지오베제 (Sangiovese) 100%,14.5,230000,4.3,5,0,4,4,https://www.winenara.com/goods/goods_view.php?goodsNo=2658
218,하디스 HRB 쉬라즈,HARDYS HRB SHIRAZ,Red,호주,"호주, 남호주",하디스 (Hardys),쉬라즈(SHIRAZ) 100%,쉬라즈(SHIRAZ) 100%,14.5,70000,3.7,4,0,4,4,https://www.winenara.com/goods/goods_view.php?goodsNo=2617
219,닥터루젠 에르데네 프랄라트 리슬링 드라이 리저브 GG,DR. LOOSEN ERDENER PRALAT RIESLING DRY GG RESERVE,White,독일,"독일, 모젤",WEINGUT DR. LOOSEN,리슬링 (RIESLING) 100%,리슬링 (RIESLING) 100%,12.5,350000,4.4,4,1,5,0,https://www.winenara.com/goods/goods_view.php?goodsNo=2611
220,베이 오브 파이어 피노누아,Bay of Fires Pinot Noir,Red,호주,타즈매니아,,피노 누아(Pinot Noir) 100%,피노 누아(Pinot Noir) 100%,13.5,45000,4.0,4,1,3,3,https://www.winenara.com/goods/goods_view.php?goodsNo=2600
221,와일드얼스 리슬링,WILD EARTH RIESLING,White,뉴질랜드,"센트럴 오타고, 뉴질랜드",Wild earth,리슬링,리슬링,13,45000,3.8,4,1,2,0,https://www.winenara.com/goods/goods_view.php?goodsNo=2568
222,[미니와인] 푸두 카베르네 소비뇽 쉬라즈,PUDU CABERNET SAUVIGNON SHIRAZ,Red,칠레,센트럴 밸리,,"카베르네 소비뇽(51%) , 쉬라즈(49%)","카베르네 소비뇽(51%) , 쉬라즈(49%)",12.5,05200,2.9,2,0,2,2,https://www.winenara.com/goods/goods_view.php?goodsNo=2011
223,바독 레드 블렌드,BAR DOG RED BLEND,Red,미국,캘리포니아,바 독,"메를로 86%, 카베르네 소비뇽 10%, 쉬라 4%","메를로 86%, 카베르네 소비뇽 10%, 쉬라 4%",13.5,32000,3.8,3,0,3,3,https://www.winenara.com/goods/goods_view.php?goodsNo=1938
224,엠 로제,M ROSE,Rose,이탈리아,피에몬테,산테로,"모스카토, 브라케토","모스카토, 브라케토",3,17500,2.8,2,4,1,0,https://www.winenara.com/goods/goods_view.php?goodsNo=1866
225,[더블매그넘]보타 박스 샤르도네,BOTA BOX CHARDONNAY,White,미국,캘리포니아,델리카토 패밀리,샤르도네 100%,샤르도네 100%,13,59000,3.2,3,1,3,0,https://www.winenara.com/goods/goods_view.php?goodsNo=1831
226,발베란 20 만자나스,VALVERAN 20 MANZANAS,White,스페인,사리에고,"마사보 보데가스, 발베란",토착품종 사과,토착품종 사과,9.5,69000,4.3,4,4,4,0,https://www.winenara.com/goods/goods_view.php?goodsNo=1824
227,마셋 가르나챠,MASET GARNATXA,Red,스페인,카탈루냐 DO,마셋,가르나챠 100%,가르나챠,14,20000,3.5,3,0,3,3,https://www.winenara.com/goods/goods_view.php?goodsNo=1778
228,시가 박스 피노누아,CIGAR BOX PINOT NOIR,Red,칠레,카사블랑카 밸리 (Casablanca Valley),,피노 누아 (Pinot Noir) 100%,피노 누아 (Pinot Noir) 100%,13.6,25000,3.6,3,0,3,1,https://www.winenara.com/goods/goods_view.php?goodsNo=1592
229,시가 박스 말벡,CIGAR BOX MALBEC,Red,칠레,멘도자 (Mendoza),시가 박스 와인 (Cigar Box Wine),말벡 (Malbec) 100%,말벡 (Malbec) 100%,13.5,25000,3.6,3,0,3,4,https://www.winenara.com/goods/goods_view.php?goodsNo=1590
230,보리우 빈야드(BV) 캘리포니아 샤르도네,BV CALIFORNIA CHARDONNAY,White,미국,캘리포니아,보리우 빈야드 (Beaulieu Vineyards),샤르도네 (Chardonnay),샤르도네 (Chardonnay),13.8,35000,3.6,3,1,2,0,https://www.winenara.com/goods/goods_view.php?goodsNo=1489
231,에스쿠도 로호 리제르바 카베르네 소비뇽,ESCUDO ROJO RESERVA CABERNET SAUVIGNON,Red,칠레,마이포 밸리,바롱 필립 드 로칠드 마이포 칠레,까베르네 소비뇽(Cabernet Sauvignon) 100%,까베르네 소비뇽(Cabernet Sauvignon) 100%,14,34000,3.7,3,0,3,4,https://www.winenara.com/goods/goods_view.php?goodsNo=1152
232,양가라 올드바인 그르나슈,YANGARRA OLD VINE GRENACHE,Red,호주,"남호주, 맥라렌 베일",잭슨 패밀리 와인,그르나슈 (Grenache) 100%,그르나슈,14.5,65000,3.8,4,0,4,3,https://www.winenara.com/goods/goods_view.php?goodsNo=1129
233,맥스 리제르바 샤르도네,MAX RESERVA CHARDONNAY,White,칠레,아콩카구아 밸리,비냐 에라주리즈,샤르도네 (Chardonnay) 100%,샤르도네 (Chardonnay) 100%,13.5,35000,3.7,2,0,3,0,https://www.winenara.com/goods/goods_view.php?goodsNo=967
234,에라주리즈 에스테이트 카베르네 소비뇽,ERRAZURIZ ESTATE CABERNET SAUVIGNON,Red,칠레,"아콩카구아 밸리, 마이포 밸리",비냐 에라주리즈,까베르네 소비뇽 (Cabernet Sauvignon) 100,까베르네 소비뇽 (Cabernet Sauvignon) 100,13.5,17500,3.5,3,1,3,3,https://www.winenara.com/goods/goods_view.php?goodsNo=833
235,캔달 잭슨 그랑 리저브 카베르네 소비뇽,KENDALL JACKSON GRAND RESERVE CABERNET SAUVIGNON,Red,미국,"캘리포니아, 소노마 코스트",잭슨 패밀리 와인,"까베르네 소비뇽 (Cabernet Sauvignon) 94.8%, 쁘띠 베르도 (Petit Verdot) 4.4%, 메를로 (Merlot) 0.5%, 까베르네 프랑 (Cabernet Franc) 0.2%","까베르네 소비뇽 (Cabernet Sauvignon) 94.8%, 쁘띠 베르도 (Petit Verdot) 4.4%, 메를로 (Merlot) 0.5%, 까베르네 프랑 (Cabernet Franc) 0.2%",13.5,95000,3.9,4,1,4,4,https://www.winenara.com/goods/goods_view.php?goodsNo=809
236,프루노토 부시아 바롤로,PRUNOTTO BUSSIA BAROLO,Red,이탈리아,"피에몬테, 바롤로","프루노토, 안티노리",네비올로(Nebbiolo) 100%,네비올로(Nebbiolo) 100%,14,150000,4.1,4,0,4,4,https://www.winenara.com/goods/goods_view.php?goodsNo=641
237,루이 라뚜르 뿌이 퓌세,LOUIS LATOUR POUILLY FUISSE,White,프랑스,"부르고뉴, 마꼬네, 뿌이 퓌세",루이 라뚜르,샤르도네 (Chardonnay) 100%,샤르도네 (Chardonnay) 100%,12.5,72000,3.9,3,0,2,0,https://www.winenara.com/goods/goods_view.php?goodsNo=518
238,에쿠스 카베르네 소비뇽,EQUUS CABERNET SAUVIGNON,Red,칠레,마이포 밸리,하라스 데 피르케,"까베르네 소비뇽(Carbernet Sauvignon) 90%, 시라(Syrah) 10%","까베르네 소비뇽(Carbernet Sauvignon) 90%, 시라(Syrah) 10%",14,25900,3.3,4,1,3,3,https://www.winenara.com/goods/goods_view.php?goodsNo=501
